"","ID","Presa","Grupo.funcional.presa","Depredador","Grupo.funcional.depredador","Estrategia","Fuente","Expertise.depredador","Expertise.presa","Referencia","Enlace","Referente"
"30",52,"Sprattus_fuegensis","Clupeiformes ","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Sardinas",8,"https://doi.org/10.3354/meps08826",NA
"31",53,"Loligo_gahi","Cephalopoda ","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA
"32",54,"llex*","Cephalopoda ","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA
"33",55,"Ilex_argentinus","Cephalopoda ","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA
"34",56,"Moroteuthis_ingens","Cephalopoda ","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA
"35",57,"Semirrosia_tenera","Cephalopoda ","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA
"36",58,"Enteroctopus_megalocyathus","Cephalopoda ","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA
"37",59,"Campylognathus_vagans","Malacostraca","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Crustaceos peracaridos",8,"https://doi.org/10.3354/meps08826",NA
"38",60,"Munida_gregaria","Malacostraca","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Crustaceos peracaridos",8,"https://doi.org/10.3354/meps08826",NA
"39",61,"Euphausia_lucens","Malacostraca","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Crustaceos peracaridos",8,"https://doi.org/10.3354/meps08826",NA
