"","ID","Presa","Grupo.funcional.presa","Depredador","Grupo.funcional.depredador","Estrategia","Fuente","Expertise.depredador","Expertise.presa","Referencia","Enlace","Referente"
"1",45,"Bathyraja_macloviana","Elasmobranchii","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Condrictios",8,"https://doi.org/10.3354/meps08826",NA
"2",135,"Bathyraja_macloviana","Rajiformes","Phocoena_dioptrica","Phocoenidae","","Heterótrofo","Mamiferos marinos","Condrictios",8,"https://doi.org/10.3354/meps08826",NA
"3",517,"Bathyraja*","Rajiformes","Lamna_nasus","Lamniformes","Cazador","Heterótrofo","Condrictios","Condrictios",26,"https://onlinelibrary.wiley.com/doi/abs/10.1111/jfb.14866",NA
"4",518,"Dipturus*","Rajiformes","Lamna_nasus","Lamniformes","Cazador","Heterótrofo","Condrictios","Condrictios",26,"https://onlinelibrary.wiley.com/doi/abs/10.1111/jfb.14866",NA
