"","ID","Filum","Clase","Orden","Familia","Género","Especie.trófica","Nombre.común","Hábitat","Dominio","Expertise","Referencia","Enlace","X","X.1"
"29",452,"Chordata","Aves","Procellariiformes","Procellariidae","Ardenna","Ardenna_creatopus","Pardela patirrosa","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"30",453,"Chordata","Aves","Procellariiformes","Procellariidae","Ardenna","Ardenna_gravis","Pardela cabeza negra","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"31",454,"Chordata","Aves","Procellariiformes","Procellariidae","Ardenna","Ardenna_grisea","Pardela oscura","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"32",455,"Chordata","Aves","Procellariiformes","Procellariidae","Daption","Daption_capense","Petrel pintado","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"33",456,"Chordata","Aves","Procellariiformes","Procellariidae","Fulmarus","Fulmarus_glacialoides","Petrel Plateado","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"34",457,"Chordata","Aves","Procellariiformes","Procellariidae","Halobaena","Halobaena_caerulea","Petrel Azulado","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"35",458,"Chordata","Aves","Procellariiformes","Procellariidae","Macronectes","Macronectes_giganteus","Petrel Gigante Común","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"36",459,"Chordata","Aves","Procellariiformes","Procellariidae","Macronectes","Macronectes_halli","Petrel Gigante Oscuro","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"37",460,"Chordata","Aves","Procellariiformes","Procellariidae","Pachyptila","Pachyptila_belcheri","Petrel paloma de pico delgado","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"38",461,"Chordata","Aves","Procellariiformes","Procellariidae","Pachyptila","Pachyptila_desolata","Pato petrel antártico","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"39",462,"Chordata","Aves","Procellariiformes","Procellariidae","Procellaria","Procellaria_aequinoctialis","Petrel Barba Blanca","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"40",463,"Chordata","Aves","Procellariiformes","Procellariidae","Procellaria","Procellaria_cinerea","Petrel gris","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"41",464,"Chordata","Aves","Procellariiformes","Procellariidae","Procellaria","Procellaria_westlandica","Petrel Negro","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"42",465,"Chordata","Aves","Procellariiformes","Procellariidae","Pterodroma","Pterodroma_incerta","Petrel Cabeza Parda","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"43",466,"Chordata","Aves","Procellariiformes","Procellariidae","Pterodroma","Pterodroma_mollis","Petrel Collar Gris","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"44",467,"Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes_patagonicus","Pingüino Rey","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"45",468,"Chordata","Aves","Sphenisciformes","Spheniscidae","Eudyptes","Eudyptes_chrysocome","Pingüino Penacho Amarillo","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"46",469,"Chordata","Aves","Sphenisciformes","Spheniscidae","Spheniscus","Spheniscus_magellanicus","Pingüino Magallánico","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"47",490,"Chordata","Aves","Sphenisciformes","Spheniscidae ","Eudyptes","Eudyptes_chrysocome","Pinguino penacho amarillo","Pelágico","CCA","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"48",500,"Chordata","Aves","Sphenisciformes","Spheniscidae ","Eudyptes","Eudyptes_chrysocome","Pinguino penacho amarillo","Pelágico","","Aves marinas",21,"https://doi.org/10.1007/s00300-021-02908-2",NA,""
"49",501,"Chordata","Aves","Sphenisciformes","Spheniscidae ","Eudyptes","Eudyptes_filholi","","Pelágico","","Aves marinas",21,"https://doi.org/10.1007/s00300-021-02908-2",NA,""
"50",502,"Chordata","Aves","Falconiformes","Falconidae","Phalcoboenus","Phalcoboenus_australis","Carancho austral","Pelágico","","Aves marinas",21,"https://doi.org/10.1007/s00300-021-02908-2",NA,""
