"","ID","Filum","Clase","Orden","Familia","Género","Especie.trófica","Nombre.común","Hábitat","Dominio","Expertise","Referencia","Enlace","X","X.1"
"1",114,"Chordata","Elasmobranchii ","Rajiformes","Rajidae",NA,"Rajidae*","","","","Condrictios",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"2",189,"Chordata","Elasmobranchii","Rajiformes","Arhynchobatidae ","Bathyraja","Bathyraja_macloviana","","","","Condrictios",8,"https://doi.org/10.3354/meps08826",NA,""
"3",470,"Chordata","Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus","Mustelus_schmitti","Gatuso","Pelágico","","Condrictios",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"4",471,"Chordata","Elasmobranchii","Rajiformes","Rajidae","Dipturus","Dipturus_chilensis","Raya hosicuda","Pelágico","","Condrictios",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"5",472,"Chordata","Elasmobranchii","Squaliformes","Squalidae","Squalus","Squalus_acanthias","Galludo","Pelágico","","Condrictios",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"6",503,"Chordata","Elasmobranchii ","Lamniformes","Lamnidae ","Lamna","Lamna_nasus","Tiburon sardinero","Pelágico","CCA, CH","Condrictios",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"7",504,"Chordata","Elasmobranchii ","Lamniformes","Lamnidae ","Lamna","Lamna_nasus","Tiburon sardinero","Pelágico","CCA, CH","Condrictios",26,"",NA,""
"8",515,"Chordata","Elasmobranchii","Rajiformes","Arhynchobatidae ","Bathyraja","Bathyraja*","","Pelágico","","Condrictios",26,"",NA,""
"9",516,"Chordata","Elasmobranchii","Rajiformes","Rajidae","Dipturus","Dipturus*","","Pelágico","","Condrictios",26,"",NA,""
