"","ID","Filum","Clase","Orden","Familia","Género","Especie.trófica","Nombre.común","Hábitat","Dominio","Expertise","Referencia","Enlace","X","X.1"
"1",337,"Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gymnodinium","Gymnodinium*","Dinoflagelados heterótrofos","","","Zooplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"2",342,"Ciliophora","Litostomatea","Cyclotrichiida","Mesodiniidae","Mesodinium","Mesodinium_rubrum","Ciliados","","CB","Zooplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"3",344,"Ciliophora","Oligotrichea","Oligotrichida","Strombidiidae","Strombidium","Strombidium*","","","","Zooplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"4",345,"Ciliophora","Oligotrichea","Choreotrichida","Strobilidiidae","Strobilidium","Strobilidium*","","","","Zooplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"5",346,"Ciliophora","Oligotrichea","Choreotrichida","Strombidinopsidae","Strombidinopsis","Strombidinopsis*","","","","Zooplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"6",347,"Ciliophora","Oligotrichea","Choreotrichida","Codonellidae","Tintinnopsis","Tintinnopsis*","Tintínidos","","","Zooplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"7",349,"Ciliophora","Oligotrichea","Oligotrichida","Cyrtostrombidiidae","Cyrtostrombidium","Cyrtostrombidium*","","","CB, CCH","Zooplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"8",351,"Ciliophora","Oligotrichea","Oligotrichida","Strombidiidae","Strombidium","Strombidium_conicum","","","","Zooplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
