"","ID","Presa","Grupo.funcional.presa","Depredador","Grupo.funcional.depredador","Estrategia","Fuente","Expertise.depredador","Expertise.presa","Referencia","Enlace","Referente"
"34",71,"Nototeniidae*","Perciformes","Lissodelphis_peronii","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"35",72,"Iluocoetes_fimbriatus","Perciformes","Lissodelphis_peronii","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"36",78,"Salilota_australis","Gadiformes ","Pseudorca_crassidens","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"37",80,"Cottoperca_gobio","Perciformes","Pseudorca_crassidens","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"38",81,"Coelorinchus_fasciatus","Gadiformes ","Pseudorca_crassidens","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"39",82,"Iluocoetes_fimbriatus","Perciformes","Pseudorca_crassidens","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"40",83,"Cottunculus_granulosus","Perciformes","Pseudorca_crassidens","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"41",85,"Genypterus_blacodes","Ophidiiformes","Pseudorca_crassidens","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"42",86,"Nototeniidae*","Perciformes","Pseudorca_crassidens","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"43",87,"Micromesistius_australis","Gadiformes ","Pseudorca_crassidens","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"44",88,"Patagonotothen_ramsayi","Perciformes","Pseudorca_crassidens","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"45",89,"Pseudocythus_maculatus","Zeiformes ","Pseudorca_crassidens","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"46",90,"Myctophidae* ","Myctophiformes ","Pseudorca_crassidens","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"47",91,"Bathyraja_macloviana","Rajiformes","Pseudorca_crassidens","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"48",92,"Eleginops_maclovinus","Perciformes","Pseudorca_crassidens","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"49",93,"Zoarcidae*","Perciformes","Pseudorca_crassidens","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"50",94,"Patagonotothen* ","Perciformes","Pseudorca_crassidens","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
