resource,consumer
Aged detritus,Exosphaeroma gigas
Aged detritus,Halicarcinus planatus 
Aged detritus,Pagurus comptus
Aged detritus,Pareuthria fuscata
Aged detritus,Polychaeta
Aged detritus,Pseudechinus magellanicus
Aged detritus,Cumacea
Aged detritus,Munida gregaria
Aged detritus,Nemertea
Aged detritus,Gammaridea
Aged detritus,Glyceridae
Aged detritus,Terebellidae
Aged detritus,Nereididae
Aged detritus,Polynoidae
Aged detritus,Tanaidacea
Aged detritus,Oligochaeta
Aged detritus,Cirratulidae
Ulva sp.,Fissurella picta
Ulva sp.,Isopoda
Ulva sp.,Amphipoda
Ulva sp.,Laevilitorina caliginosa
Ulva sp.,Mytilus edulis chilensis
Ulva sp.,Nacella deaurata
Ulva sp.,Nacella magellanica
Ulva sp.,Polyplacophora
Ulva sp.,Pseudechinus magellanicus
Ulva sp.,Siphonaria lessonii
Ulva sp.,Munida gregaria
Ulva sp.,Gammaridea
Ulva sp.,Terebellidae
Ulva sp.,Patagonotothen tessellata
Ulva sp.,Loxechinus albus
Ulva sp.,Nereididae
Ulva sp.,Eleginops maclovinus
Fresh detritus,Crustacea
Fresh detritus,Gastropoda
Fresh detritus,Isopoda
Fresh detritus,Zooplankton
Fresh detritus,Ostracoda
Fresh detritus,Amphipoda
Fresh detritus,Ascidiacea
Fresh detritus,Aulacomya atra
Fresh detritus,Bivalvia
Fresh detritus,Crepipatella dilatata
Fresh detritus,Eurhomalea exalbida
Fresh detritus,Exosphaeroma gigas
Fresh detritus,Gaimardia trapesina
Fresh detritus,Halicarcinus planatus 
Fresh detritus,Laevilitorina caliginosa
Fresh detritus,Mytilus edulis chilensis
Fresh detritus,Nacella deaurata
Fresh detritus,Notochthamalus scabrosus 
Fresh detritus,Pareuthria fuscata
Fresh detritus,Perumytilus purpuratus
Fresh detritus,Polychaeta
Fresh detritus,Polyplacophora
Fresh detritus,Siphonaria lessonii
Fresh detritus,Spirorbinae
Fresh detritus,Bryozoa
Fresh detritus,Copepoda
Fresh detritus,Membranipora isabelleana
Fresh detritus,Serpulidae
Fresh detritus,Munida gregaria
Fresh detritus,Euphausiacea
Fresh detritus,Ophiuroidea
Fresh detritus,Terebellidae
Fresh detritus,Notobalanus flosculus
Fresh detritus,Echiura
Fresh detritus,Holothuroidea
Fresh detritus,Nereididae
Fresh detritus,Tanaidacea
Fresh detritus,Hiatella arctica
Fresh detritus,Hydrozoa
Fresh detritus,Porifera
Fresh detritus,Campylonotus vagans
Fresh detritus,Zygochlamys patagonica
Fresh detritus,Cirripedia
Fresh detritus,Chthamalus sp.
Fresh detritus,Glabraster antarctica
Ostracoda,Amphipoda
Ostracoda,Nacella deaurata
Ostracoda,Nacella magellanica
Ostracoda,Pagurus comptus
Ostracoda,Polychaeta
Ostracoda,Pseudechinus magellanicus
Ostracoda,Harpagifer bispinis
Ostracoda,Munida gregaria
Ostracoda,Patagonotothen cornucola
Ostracoda,Euphausiacea
Ostracoda,Gammaridea
Ostracoda,Ophiuroidea
Ostracoda,Sprattus fuegensis
Ostracoda,Patagonotothen longipes
Ostracoda,Arbacia dufresnii
Ostracoda,Paralomis granulosa
Ostracoda,Polynoidae
Ostracoda,Hydrozoa
Ostracoda,Galaxias maculatus
Ostracoda,Hyperiidea
Ostracoda,Eleginops maclovinus
Ostracoda,Glabraster antarctica
Acanthocyclus albatrossis,Anasterias antarctica
Acanthocyclus albatrossis,Patagonotothen cornucola
Amphipoda,Anasterias antarctica
Amphipoda,Nacella magellanica
Amphipoda,Pagurus comptus
Amphipoda,Pseudechinus magellanicus
Amphipoda,Harpagifer bispinis
Amphipoda,Munida gregaria
Amphipoda,Patagonotothen cornucola
Amphipoda,Dissostichus eleginoides
Amphipoda,Myxine glutinosa
Amphipoda,Bathyraja brachyurops
Amphipoda,Cottoperca gobio
Amphipoda,Genypterus blacodes
Amphipoda,Merluccius hubbsi
Amphipoda,Patagonotothen sp.
Amphipoda,Sprattus fuegensis
Amphipoda,Bathyraja griseocauda
Amphipoda,Bathyraja scaphiops
Amphipoda,Careproctus pallidus
Amphipoda,Patagonotothen longipes
Amphipoda,Patagonotothen sima
Amphipoda,Patagonotothen tessellata
Amphipoda,Arbacia dufresnii
Amphipoda,Bathyraja albomaculata
Amphipoda,Paranotothenia magellanica
Amphipoda,Patagonotothen brevicauda brevicauda
Amphipoda,Patagonotothen ramsayi
Amphipoda,Galaxias maculatus
Amphipoda,Raja (Dipturus) chilensis
Amphipoda,Asterina fimbriata
Amphipoda,Austrolycus depressiceps
Amphipoda,Cosmasterias lurida
Amphipoda,Eleginops maclovinus
Amphipoda,Lithodes santolla
Amphipoda,Odontesthes nigricans
Amphipoda,Schroederichthys bivius
Anasterias antarctica,Patagonotothen tessellata
Anasterias antarctica,Austrolycus depressiceps
Anasterias antarctica,Eleginops maclovinus
Ascidiacea,Anasterias antarctica
Ascidiacea,Genypterus blacodes
Ascidiacea,Cosmasterias lurida
Ascidiacea,Lithodes santolla
Aulacomya atra,Anasterias antarctica
Aulacomya atra,Eurypodius latreillii
Aulacomya atra,Pseudechinus magellanicus
Aulacomya atra,Trophon geversianus
Aulacomya atra,Peltarion spinosulum
Aulacomya atra,Genypterus blacodes
Aulacomya atra,Arbacia dufresnii
Aulacomya atra,Paralomis granulosa
Aulacomya atra,Asterina fimbriata
Aulacomya atra,Austrolycus depressiceps
Aulacomya atra,Cosmasterias lurida
Aulacomya atra,Lithodes santolla
Bivalvia,Anasterias antarctica
Bivalvia,Eurypodius latreillii
Bivalvia,Pagurus comptus
Bivalvia,Pseudechinus magellanicus
Bivalvia,Munida gregaria
Bivalvia,Myxine glutinosa
Bivalvia,Peltarion spinosulum
Bivalvia,Genypterus blacodes
Bivalvia,Arbacia dufresnii
Bivalvia,Paralomis granulosa
Bivalvia,Patagonotothen ramsayi
Bivalvia,Salilota australis
Bivalvia,Eleginops maclovinus
Bivalvia,Lithodes santolla
Bivalvia,Odontesthes nigricans
Bivalvia,Schroederichthys bivius
Crepipatella dilatata,Anasterias antarctica
Crepipatella dilatata,Asterina fimbriata
Crepipatella dilatata,Cosmasterias lurida
Eurhomalea exalbida,Anasterias antarctica
Eurypodius latreillii,Anasterias antarctica
Eurypodius latreillii,Paranotothenia magellanica
Eurypodius latreillii,Patagonotothen ramsayi
Eurypodius latreillii,Raja (Dipturus) chilensis
Eurypodius latreillii,Schroederichthys bivius
Exosphaeroma gigas,Anasterias antarctica
Exosphaeroma gigas,Pseudechinus magellanicus
Exosphaeroma gigas,Harpagifer bispinis
Exosphaeroma gigas,Patagonotothen cornucola
Exosphaeroma gigas,Patagonotothen longipes
Exosphaeroma gigas,Patagonotothen tessellata
