ID,Presa,Grupo funcional presa,Expertise presa,Depredador,Grupo funcional depredador,Expertise depredador,Estrategia,Fuente,Referencia,Enlace,Observaciones
29,Anuropus_antarcticus,Malacostraca,Crustaceos peracaridos,Thalassarche_chrysostoma,Procellariiformes,Aves marinas,Cazador,Heterótrofo,"Arata, J. et al_2004",https://doi.org/10.1017/S095410200400207X,
30,Decapoda_otros,Malacostraca,Crustaceos peracaridos,Thalassarche_chrysostoma,Procellariiformes,Aves marinas,Cazador,Heterótrofo,"Arata, J. et al_2004",https://doi.org/10.1017/S095410200400207X,
31,Patagonotothen_sp,Perciformes,Peces,Lagenorhynchus_australis,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
32,Patagonotothen_sp,Perciformes,Peces,Lagenorhynchus_australis,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
33,Nototheniidae,Perciformes,Peces,Lagenorhynchus_australis,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
34,Zoarcidae,Perciformes,Peces,Lagenorhynchus_australis,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
35,Odonthestes,Atheriniformes,Peces,Lagenorhynchus_australis,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
36,Merluccius_hubbsi,Gadiformes,Peces demersales,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
37,Merluccius_australis,Gadiformes,Peces demersales,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
38,Salilota_australis,Gadiformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
39,Macruronus_magellanicus,Gadiformes,Peces demersales,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
40,Nototheniidae_spp,Perciformes,Peces,Lagenorhynchus_australis,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
41,Zoarcidae,Perciformes,Peces,Lagenorhynchus_australis,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
42,Odonthestes,Atheriniformes,Peces,Lagenorhynchus_australis,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
43,Merlucciidae ,Gadiformes,Peces demersales,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
44,Merlucciidae ,Gadiformes,Peces demersales,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
45,Salilota_australis,Gadiformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
46,Merlucciidae ,Gadiformes,Peces demersales,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
47,Cottoperca_trigloides,Perciformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
48,Coelorinchus_fasciatus,Gadiformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
49,Iluocoetes_fimbriatus,Perciformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
50,Cottunculus_granulosus,Perciformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
51,Dissostichus_eleginoides,Perciformes,Peces demersales,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
52,Ophidiidae,Ophidiiformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
53,Nototheniidae,Perciformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
54,Micromesistius_australis,Gadiformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
