"ID","Filum","Clase","Orden","Familia","Género","Especie trófica","Nombre común","Hábitat","Dominio","Referencia",""
"152","Arthropoda","Malacostraca","Decapoda","Pasiphaeidae","Pasiphaea","Pasiphaea_longispina","","","","Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",""
"153","Arthropoda","Malacostraca","Euphausiacea","Euphausiacea","Euphausia","Euphausia_superba","Krill","Planctónico","CCA, CCH","Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",""
"154","Arthropoda","Malacostraca","Mysidacea","Gnathophausiidae","N/A","Gnathophausiidae","","","","Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",""
"155","Chordata","Aves","Procellariiformes","Diomedeidae","Thalassarche","Thalassarche_chrysostoma","","","","Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",""
"156","Chordata","Actinopterygii","Anguiliformes","Synaphobranchidae","Diastobranchus","Diastobranchus_capensis","","","","Reyes, P. R., Torres, J. P., & Reyes, E. M. (2009). Peces abisales del extremo austral de América del sur (52 S-57 S), componentes de la fauna acompañante de la pesquería de palangre del bacalao de profundidad (Dissostichus eleginoides Smitt, 1898). Revista de biología marina y oceanografía, 44(1), 59-65.",""
"157","Chordata","Actinopterygii","Gadiformes","Macrouridae","Macrourus","Macrourus_carinatus","","","","Reyes, P. R., Torres, J. P., & Reyes, E. M. (2009). Peces abisales del extremo austral de América del sur (52 S-57 S), componentes de la fauna acompañante de la pesquería de palangre del bacalao de profundidad (Dissostichus eleginoides Smitt, 1898). Revista de biología marina y oceanografía, 44(1), 59-65.",""
"158","Chordata","Actinopterygii","Gadiformes","Macrouridae","Macrourus","Macrourus_holotrachys","","","","Reyes, P. R., Torres, J. P., & Reyes, E. M. (2009). Peces abisales del extremo austral de América del sur (52 S-57 S), componentes de la fauna acompañante de la pesquería de palangre del bacalao de profundidad (Dissostichus eleginoides Smitt, 1898). Revista de biología marina y oceanografía, 44(1), 59-65.",""
"159","Chordata","Actinopterygii","Gadiformes","Macrouridae","Caelorinchus","Caelorinchus_fasciatus","","","","Reyes, P. R., Torres, J. P., & Reyes, E. M. (2009). Peces abisales del extremo austral de América del sur (52 S-57 S), componentes de la fauna acompañante de la pesquería de palangre del bacalao de profundidad (Dissostichus eleginoides Smitt, 1898). Revista de biología marina y oceanografía, 44(1), 59-65.",""
"160","Chordata","Actinopterygii","Gadiformes","Macrouridae","Caelorinchus","Caelorinchus_chilensis","","","","Reyes, P. R., Torres, J. P., & Reyes, E. M. (2009). Peces abisales del extremo austral de América del sur (52 S-57 S), componentes de la fauna acompañante de la pesquería de palangre del bacalao de profundidad (Dissostichus eleginoides Smitt, 1898). Revista de biología marina y oceanografía, 44(1), 59-65.",""
"161","Chordata","Actinopterygii","Gadiformes","Moridae","Antimora","Antimora_rostrata","","","","Reyes, P. R., Torres, J. P., & Reyes, E. M. (2009). Peces abisales del extremo austral de América del sur (52 S-57 S), componentes de la fauna acompañante de la pesquería de palangre del bacalao de profundidad (Dissostichus eleginoides Smitt, 1898). Revista de biología marina y oceanografía, 44(1), 59-65.",""
"162","Chordata","Actinopterygii","Gadiformes","Moridae","Lepidion","Lepidion_ensiferus","","","","Reyes, P. R., Torres, J. P., & Reyes, E. M. (2009). Peces abisales del extremo austral de América del sur (52 S-57 S), componentes de la fauna acompañante de la pesquería de palangre del bacalao de profundidad (Dissostichus eleginoides Smitt, 1898). Revista de biología marina y oceanografía, 44(1), 59-65.",""
"163","Chordata","Actinopterygii","Perciformes","Nototheniidae","Dissostichus","Dissostichus_eleginoides","Merluza negra","Demersal","","Reyes, P. R., Torres, J. P., & Reyes, E. M. (2009). Peces abisales del extremo austral de América del sur (52 S-57 S), componentes de la fauna acompañante de la pesquería de palangre del bacalao de profundidad (Dissostichus eleginoides Smitt, 1898). Revista de biología marina y oceanografía, 44(1), 59-65.",""
"164","Chordata","Actinopterygii","Scorpaeniformes","Liparidae","N/A","Liparidae","","","","Reyes, P. R., Torres, J. P., & Reyes, E. M. (2009). Peces abisales del extremo austral de América del sur (52 S-57 S), componentes de la fauna acompañante de la pesquería de palangre del bacalao de profundidad (Dissostichus eleginoides Smitt, 1898). Revista de biología marina y oceanografía, 44(1), 59-65.",""
"165","Chordata","Mammalia","Artiodactyla","Delphinidae","Lagenorhynchus ","Lagenorhynchus_australis","Delfín Austral","","","Goodall, R. N. P. (2009). Peale's Dolphin: Lagenorhynchus australis. In Encyclopedia of marine mammals (pp. 844-847). Academic Press.",""
"166","Chordata","Mammalia","Cetartiodactyla ","Delphinidae","Grampus","Grampus_griseus","","","CB","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"167","Chordata","Mammalia","Artiodactyla","Delphinidae","Lagenorhynchus ","Lagenorhynchus_cruciger","Delfín cruzado","","CB","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"168","Chordata","Mammalia","Artiodactyla","Delphinidae","Lagenorhynchus ","Lagenorhynchus_australis","Delfín Austral","","CB","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"169","Chordata","Mammalia","Cetartiodactyla ","Delphinidae","Lissodelphis","Lissodelphis_peronii","","","CB","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"170","Chordata","Mammalia","Cetartiodactyla ","Delphinidae","Pseudorca","Pseudorca_crassidens","","","CB","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"171","Chordata","Mammalia","Cetartiodactyla ","Delphinidae","Cephalorhynchus","Cephalorhynchus_commersonii","","","CB","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"172","Chordata","Mammalia","Artiodactyla","Phocoenidae","Phocoena","Phocoena_dioptrica","","","CB","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"173","Chordata","Mammalia","Artiodactyla","Phocoenidae","Phocoena","Phocoena_spinipinnis","","","CB","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"174","Chordata","Actinopteri ","Gadiformes ","Merlucciidae ","Merluccius","Merluccius_hubbsi","Merluza Argentina","Demersal","","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"175","Chordata","Actinopteri ","Gadiformes ","Merlucciidae ","Merluccius","Merluccius_australis","Merluza austral","Demersal","","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"176","Chordata","Actinopteri ","Gadiformes ","Moridae ","Salilota","Salilota_australis","Bacalao criollo","Pelágico","","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"177","Chordata","Actinopteri ","Gadiformes ","Merlucciidae ","Macruronus","Macruronus_magellanicus","Merluza de cola","Demersal","","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"178","Chordata","Actinopteri ","Perciformes","Bovichtidae","Cottoperca","Cottoperca_gobio","","","","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"179","Chordata","Actinopteri ","Gadiformes ","Macrouridae","Coelorinchus","Coelorinchus_fasciatus","","","","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"180","Chordata","Actinopteri ","Perciformes","Zoarcidae","Iluocoetes","Iluocoetes_fimbriatus","","Demersal","CB, CCH","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"181","Chordata","Actinopteri ","Perciformes","Psychrolutidae ","Cottunculus","Cottunculus_granulosus","","","","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"182","Chordata","Actinopteri ","Perciformes","Nototheniidae","Dissostichus","Dissostichus_eleginoides","Merluza negra","Demersal","","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"183","Chordata","Actinopteri ","Ophidiiformes","Ophidiidae ","Genypterus","Genypterus_blacodes","","","","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"184","Chordata","Actinopteri ","Perciformes","Nototheniidae","N/A","Nototheniidae","","","","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"185","Chordata","Actinopteri ","Gadiformes ","Gadidae","Micromesistius","Micromesistius_australis","Bacaladilla","Pelágico","","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"186","Chordata","Actinopteri ","Perciformes","Nototheniidae","Patagonotothen","Patagonotothen_ramsayi","","","","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"187","Chordata","Actinopteri ","Zeiformes ","Oreosomatidae ","Pseudocyttus","Pseudocyttus_maculatus","","","","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"188","Chordata","Actinopteri ","Myctophiformes ","Myctophidae ","N/A","Myctophidae ","","","","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"189","Chordata","Elasmobranchii","Rajiformes","Arhynchobatidae ","Bathyraja","Bathyraja_macloviana","","","","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"190","Chordata","Actinopteri ","Perciformes","Nototheniidae","Eleginops","Eleginops_maclovinus","","","","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"191","Chordata","Actinopteri ","Perciformes","Zoarcidae","N/A","Zoarcidae","","","","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"192","Chordata","Actinopteri ","Perciformes","Nototheniidae","Patagonotothen ","Patagonotothen ","","","","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"193","Chordata","Actinopteri ","Perciformes","Nototheniidae","Patagonotothen ","Patagonotothen_sima","","","","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"194","Chordata","Actinopteri ","Perciformes","Nototheniidae","Patagonotothen ","Patagonotothen_tessellata","","","","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"195","Chordata","Actinopteri ","Atheriniformes","Atherinidae","Odonthestes","Odonthestes","","","","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"196","Chordata","Actinopteri ","Clupeiformes ","Clupeidae","Sprattus","Sprattus_fuegensis","Sardina fueguina, Fuegian sprat","Pelágico","CCH, CB","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.","Sardina fueguina"
"197","Mollusca","Cephalopoda ","Myopsida","Loliginidae ","Loligo","Loligo_gahi","","","","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"198","Mollusca","Cephalopoda ","Oegopsida ","Ommastrephidae ","llex","llex","","","","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"199","Mollusca","Cephalopoda ","Oegopsida ","Ommastrephidae ","llex","Illex_argentinus","Calamar o Pota argentina","","","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"200","Mollusca","Cephalopoda ","Oegopsida ","Onychoteuthidae ","Moroteuthis","Moroteuthis_ingens","","","","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"201","Mollusca","Cephalopoda ","Sepioidea","Sepiolidae","Semirrosia","Semirrosia_tenera","","","","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"202","Mollusca","Cephalopoda ","Octopoda","Enteroctopodidae","Enteroctopus","Enteroctopus_megalocyathus","Pulpo rojo patagónico","","","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"203","Arthropoda","Malacostraca","Decapoda","Campylonotidae ","Campylognathus","Campylognathus_vagans","","","","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"204","Arthropoda","Malacostraca","Decapoda","Munididae","Munida","Munida_gregaria","Langosta en cuclillas","Bentopelágico","","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"205","Arthropoda","Malacostraca","Euphausiacea ","Euphausiidae ","Euphausia","Euphausia_lucens","","","","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"206","Arthropoda","Copepoda ","Calanoida","Calanidae","Calanus","Calanus_australis","","","","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"207","Arthropoda","Malacostraca","Amphipoda","Hyperiidae ","Themisto","Themisto_gaudichaudii","","","","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"208","Chordata","Mammalia","Cetartiodactyla","Physeteridae ","Physeter","Physeter_macrocephalus","Cachalote","Pelágico","","Van Waerebeek, K., Leaper, R., Baker, A. N., Papastavrou, V., Thiele, D. E. B. O. R. A. H., Findlay, K., ... & Ensor, P. A. U. L. (2010). Odontocetes of the southern ocean sanctuary. Journal of Cetacean Research and Management, 11(3), 315-346.",""
"209","Chordata","Mammalia","Cetartiodactyla","Kogiidae","Kogia","Kogia_breviceps","","","","Van Waerebeek, K., Leaper, R., Baker, A. N., Papastavrou, V., Thiele, D. E. B. O. R. A. H., Findlay, K., ... & Ensor, P. A. U. L. (2010). Odontocetes of the southern ocean sanctuary. Journal of Cetacean Research and Management, 11(3), 315-346.",""
"210","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Orcinus","Orcinus_orca","","","","Van Waerebeek, K., Leaper, R., Baker, A. N., Papastavrou, V., Thiele, D. E. B. O. R. A. H., Findlay, K., ... & Ensor, P. A. U. L. (2010). Odontocetes of the southern ocean sanctuary. Journal of Cetacean Research and Management, 11(3), 315-346.",""
"211","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Globicephala","Globicephala_melas","","","CAA","Van Waerebeek, K., Leaper, R., Baker, A. N., Papastavrou, V., Thiele, D. E. B. O. R. A. H., Findlay, K., ... & Ensor, P. A. U. L. (2010). Odontocetes of the southern ocean sanctuary. Journal of Cetacean Research and Management, 11(3), 315-346.",""
"212","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Pseudorca","Pseudorca_crassidens","","","","Van Waerebeek, K., Leaper, R., Baker, A. N., Papastavrou, V., Thiele, D. E. B. O. R. A. H., Findlay, K., ... & Ensor, P. A. U. L. (2010). Odontocetes of the southern ocean sanctuary. Journal of Cetacean Research and Management, 11(3), 315-346.",""
"213","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Lagenorhynchus","Lagenorhynchus_obscurus","","","","Van Waerebeek, K., Leaper, R., Baker, A. N., Papastavrou, V., Thiele, D. E. B. O. R. A. H., Findlay, K., ... & Ensor, P. A. U. L. (2010). Odontocetes of the southern ocean sanctuary. Journal of Cetacean Research and Management, 11(3), 315-346.",""
"214","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Lagenorhynchus","Lagenorhynchus_cruciger","Delfín cruzado","","","Van Waerebeek, K., Leaper, R., Baker, A. N., Papastavrou, V., Thiele, D. E. B. O. R. A. H., Findlay, K., ... & Ensor, P. A. U. L. (2010). Odontocetes of the southern ocean sanctuary. Journal of Cetacean Research and Management, 11(3), 315-346.",""
"215","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Lissodelphis","Lissodelphis_peronii","","","","Van Waerebeek, K., Leaper, R., Baker, A. N., Papastavrou, V., Thiele, D. E. B. O. R. A. H., Findlay, K., ... & Ensor, P. A. U. L. (2010). Odontocetes of the southern ocean sanctuary. Journal of Cetacean Research and Management, 11(3), 315-346.",""
"216","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Cephalorhynchus","Cephalorhynchus_commersonii","","","","Van Waerebeek, K., Leaper, R., Baker, A. N., Papastavrou, V., Thiele, D. E. B. O. R. A. H., Findlay, K., ... & Ensor, P. A. U. L. (2010). Odontocetes of the southern ocean sanctuary. Journal of Cetacean Research and Management, 11(3), 315-346.",""
"217","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Cephalorhynchus","Cephalorhynchus_hectori","","","","Van Waerebeek, K., Leaper, R., Baker, A. N., Papastavrou, V., Thiele, D. E. B. O. R. A. H., Findlay, K., ... & Ensor, P. A. U. L. (2010). Odontocetes of the southern ocean sanctuary. Journal of Cetacean Research and Management, 11(3), 315-346.",""
"218","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Tursiops","Tursiops_truncatus","","","","Van Waerebeek, K., Leaper, R., Baker, A. N., Papastavrou, V., Thiele, D. E. B. O. R. A. H., Findlay, K., ... & Ensor, P. A. U. L. (2010). Odontocetes of the southern ocean sanctuary. Journal of Cetacean Research and Management, 11(3), 315-346.",""
"219","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Delphinus","Delphinus_delphis","","","","Van Waerebeek, K., Leaper, R., Baker, A. N., Papastavrou, V., Thiele, D. E. B. O. R. A. H., Findlay, K., ... & Ensor, P. A. U. L. (2010). Odontocetes of the southern ocean sanctuary. Journal of Cetacean Research and Management, 11(3), 315-346.",""
"220","Chordata","Mammalia","Cetartiodactyla","Phocoenidae","Phocoena","Phocoena_dioptrica","","","","Van Waerebeek, K., Leaper, R., Baker, A. N., Papastavrou, V., Thiele, D. E. B. O. R. A. H., Findlay, K., ... & Ensor, P. A. U. L. (2010). Odontocetes of the southern ocean sanctuary. Journal of Cetacean Research and Management, 11(3), 315-346.",""
"221","Chordata","Mammalia","Cetartiodactyla","Ziphiidae ","Hyperoodon","Hyperoodon_planifrons","","","","Van Waerebeek, K., Leaper, R., Baker, A. N., Papastavrou, V., Thiele, D. E. B. O. R. A. H., Findlay, K., ... & Ensor, P. A. U. L. (2010). Odontocetes of the southern ocean sanctuary. Journal of Cetacean Research and Management, 11(3), 315-346.",""
"222","Chordata","Mammalia","Cetartiodactyla","Ziphiidae ","Berardius","Berardius_arnuxii","","","","Van Waerebeek, K., Leaper, R., Baker, A. N., Papastavrou, V., Thiele, D. E. B. O. R. A. H., Findlay, K., ... & Ensor, P. A. U. L. (2010). Odontocetes of the southern ocean sanctuary. Journal of Cetacean Research and Management, 11(3), 315-346.",""
"223","Chordata","Mammalia","Cetartiodactyla","Ziphiidae ","Ziphius","Ziphius_cavirostris","","","","Van Waerebeek, K., Leaper, R., Baker, A. N., Papastavrou, V., Thiele, D. E. B. O. R. A. H., Findlay, K., ... & Ensor, P. A. U. L. (2010). Odontocetes of the southern ocean sanctuary. Journal of Cetacean Research and Management, 11(3), 315-346.",""
"224","Chordata","Mammalia","Cetartiodactyla","Ziphiidae ","Tasmacetus","Tasmacetus_shepherdi","","","","Van Waerebeek, K., Leaper, R., Baker, A. N., Papastavrou, V., Thiele, D. E. B. O. R. A. H., Findlay, K., ... & Ensor, P. A. U. L. (2010). Odontocetes of the southern ocean sanctuary. Journal of Cetacean Research and Management, 11(3), 315-346.",""
"225","Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Mesoplodon","Mesoplodon_layardii","","","","Van Waerebeek, K., Leaper, R., Baker, A. N., Papastavrou, V., Thiele, D. E. B. O. R. A. H., Findlay, K., ... & Ensor, P. A. U. L. (2010). Odontocetes of the southern ocean sanctuary. Journal of Cetacean Research and Management, 11(3), 315-346.",""
"226","Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Mesoplodon","Mesoplodon_traversii","","","","Van Waerebeek, K., Leaper, R., Baker, A. N., Papastavrou, V., Thiele, D. E. B. O. R. A. H., Findlay, K., ... & Ensor, P. A. U. L. (2010). Odontocetes of the southern ocean sanctuary. Journal of Cetacean Research and Management, 11(3), 315-346.",""
"227","Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Mesoplodon","Mesoplodon_grayi","","","CAA","Van Waerebeek, K., Leaper, R., Baker, A. N., Papastavrou, V., Thiele, D. E. B. O. R. A. H., Findlay, K., ... & Ensor, P. A. U. L. (2010). Odontocetes of the southern ocean sanctuary. Journal of Cetacean Research and Management, 11(3), 315-346.",""
"228","Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Mesoplodon","Mesoplodon_bowdoini","","","","Van Waerebeek, K., Leaper, R., Baker, A. N., Papastavrou, V., Thiele, D. E. B. O. R. A. H., Findlay, K., ... & Ensor, P. A. U. L. (2010). Odontocetes of the southern ocean sanctuary. Journal of Cetacean Research and Management, 11(3), 315-346.",""
"229","Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Mesoplodon","Mesoplodon_hectori","","","","Van Waerebeek, K., Leaper, R., Baker, A. N., Papastavrou, V., Thiele, D. E. B. O. R. A. H., Findlay, K., ... & Ensor, P. A. U. L. (2010). Odontocetes of the southern ocean sanctuary. Journal of Cetacean Research and Management, 11(3), 315-346.",""
"230","Chordata","Mammalia","Cetartiodactyla","Kogiidae","Kogia","Kogia_sima","","","","Van Waerebeek, K., Leaper, R., Baker, A. N., Papastavrou, V., Thiele, D. E. B. O. R. A. H., Findlay, K., ... & Ensor, P. A. U. L. (2010). Odontocetes of the southern ocean sanctuary. Journal of Cetacean Research and Management, 11(3), 315-346.",""
"231","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Grampus","Grampus_griseus","","","","Van Waerebeek, K., Leaper, R., Baker, A. N., Papastavrou, V., Thiele, D. E. B. O. R. A. H., Findlay, K., ... & Ensor, P. A. U. L. (2010). Odontocetes of the southern ocean sanctuary. Journal of Cetacean Research and Management, 11(3), 315-346.",""
