"ID","Filum","Clase","Orden","Familia","Género","Especie trófica","Nombre común","Hábitat","Dominio","Referencia",""
"22","Rhodophyta","Florideophyceae","Corallinales","Hapalidiaceae","Lithothamnion","Lithothamnion","Alga roja","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"23","Annelida","Polychaeta","Canalipalpata","Chaetopteridae","Chaetopterus","Chaetopterus","Gusano tubo de pergamino","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"24","Annelida","Polychaeta","Canalipalpata","Serpulidae","N/A","Serpulidae","Serpúlidos","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"25","Echinodermata","Echinoidea","N/A","N/A","N/A","Echinoidea*","N/A","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"26","Rhodophyta","Florideophyceae","Corallinales","Hapalidiaceae","Messophyllum","Messophyllum","Alga roja","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"27","Rhodophyta","Florideophyceae","Gigartinales","Kallymeniaceae","Callophyllis","Callophyllis_variegata","Carola","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"28","Rhodophyta","Florideophyceae","Gigartinales","Kallymeniaceae","Callophyllis","Callophyllis_astrosanguinea","N/A","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"29","Rhodophyta","Florideophyceae","Gigartinales","Gigartinaceae","Iridaea","Iridaea_codata","N/A","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"30","Arthropoda","Malacostraca","Decapoda","Munididae","Munida","Munida_subrugosa","Langosta","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"31","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Macrocystis","Macrocystis_pyrifera","Kelp","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"32","Arthropoda","Malacostraca","Decapoda","Atelecyclidae","Peltarion","Peltarion_spinosulum","Cangrejo peludo","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"33","Chordata","Actinopterygii","Perciformes","Nototeniidae","N/A","Nototeniidae","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"34","Echinodermata","Asteroidea","Forcipulatida","Stichasteridae","Cosmasterias","Cosmasterias_lurida","Estrella vioeta","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"35","Cnidaria","Anthozoa","N/A","N/A","N/A","Anthozoa*","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"36","Mollusca","Gastropoda","Neogastropoda","Muricidae","Trophon","Trophon","","Bentónico","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"37","Echiodermata","Echinoidea","Temnopleuroida","Temnopleuridae","Pseudechinus ","Pseudechinus_magellanicus","Erizo de mar ","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"38","Echiodermata","Echinoidea","Echinoida","Echinidae","Loxechinus","Loxechinus_albus","Erizo de mar chileno","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"39","Mollusca","Gastropoda","Trochida","Calliostomatidae","Photinula","Photinula_caerulescens","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"40","Echinodermata","Ophiruidea","Ophiacanthida ","Ophiacanthidae","Ophiacantha","Ophiacantha_vivipara","Ofiura","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"41","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Pagurus_gaudichaudii","Cangrejo ermitaño","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"42","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Pagurus_comptus","Cangrejo eritaño patagónico","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"43","Brachiopoda","Rhynchonellata","Terebratulida","Terebratellidae","Terebratula","Terebratula_dorsata","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"44","Brachiopoda","Rhynchonellata","Terebratulida","Terebratellidae","Magellonia","Magellonia_venosa","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"45","Mollusca","Gastropoda","Littorinimorpha","Calyptraeidae","Caliptraea","Caliptraea_pileolus","Sombreritos chinos","Bentónico","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"46","Mollusca","Bivalvia","Pectinoida","Pectinidae","Chlamys","Chlamys_patagonica","Vieira patagónica","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"47","Mollusca","Bivalvia","Pectinoida","Pectinidae","Chlamys","Chlamys_vitrea","Veira","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"48","Bryozoa","Cyclostomata","N/A","N/A","N/A","Cyclostomata*","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"49","Bryozoa","Gymnolaemata","Cheilostomatida","Phidoloporidae","Reteporella","Reteporella_magellenesis","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"50","Chlorophyta","Ulvophyceae","Ulvales","Ulvaceae","Ulva","Ulva_lactuca","Lechuga de mar","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"51","Arthropoda","Malacostraca","Brachyura","N/A","N/A","Brachyura","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"52","Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Polisiphonia","Polisiphonia_anisogona","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"53","Arthropoda","Malacostraca","Decapoda","Inachidae","Eurypodius","Eurypodius_latreilli","Cangrejo","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"54","Mollusca","Gastropoda ","Neogastropoda","Cominellidae ","Pareuthria","Pareuthria_plumbea","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"55","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Macrocystis","Macrocystis","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"56","Ochrophyta","Phaeophyceae ","Laminariales ","Lessoniaceae","Lessonia","Lessonia","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"57","Mollusca","Bivalvia","Veneridae ","Venerida","Venus","Venus_antiqua","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"58","Mollusca","Bivalvia","Anomalodesmata ","Laternulidae","Laternula","Laternula","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"59","Cnidaria","Hydrozoa","N/A","N/A","N/A","Hydrozoa*","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"60","Bryozoa","Gymnolaemata ","Cheilostomatida","Flustridae ","Carbasea","Carbasea_ovoidea","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"61","Echinodermata","Holothuroidea","Aspidochirotida","Cymatiidae","Fussitriton","Fussitriton","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"62","Annelida","Polychaeta","Sabellida","Serpulidae","Serpula","Serpula_narconensis","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"63","Bryozoa ","Stenolaemata ","Cyclostomatida","Horneridae ","Hornera","Hornera","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"64","Bryozoa ","Gymnolaemata ","Cheilostomatida","Adeonidae ","Adeonella","Adeonella","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"65","Echinodermata","Asteroidea","Valvatida","Solasteridae","Solaster","Solaster regularis","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"66","Echinodermata","Holothuroidea ","Dendrochirotida","N/A","N/A","Dendrochirotida","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"67","Echinodermata","Ophiuroidea","Ophiurida ","Ophiuridae","Ophiuroglypha","Ophiuroglypha_lymani","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"68","Echinodermata","Echinoidea","Spatangoida ","Schizasteridae","Trypilaster","Trypilaster","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"69","Echinodermata","Ophiuroidea","Ophiurida ","Ophiuridae","Ophiocten","Ophiocten_amitinum","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"70","Porifera","Demospongiae","Haplosclerida","N/A","N/A","Haplosclerida","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"71","Echinodermata","Asteroidea","Valvatida","Solasteridae","Lophaster","Lophaster","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
