ID,Prey,Prey funtional group,Prey expertise,Predator,Predator funtional group,Predator expertise,Strategy,Source,Reference,Link,Observations
454,Themisto_gaudichaudii,Malacostraca,Crustaceans,Balaenoptera_borealis,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
455,Themisto_gaudichaudii,Malacostraca,Crustaceans,Balaenoptera_borealis,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
456,Grimothea_gregaria,Malacostraca,Crustaceans,Balaenoptera_borealis,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
457,Themisto_gaudichaudii,Malacostraca,Crustaceans,Balaenoptera_physalus,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
458,Themisto_gaudichaudii,Malacostraca,Crustaceans,Balaenoptera_physalus,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
459,Coelorinchus_fasciatus,Gadiformes,Fish,Ophidiidae,Ophidiiformes,Fish,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
460,Polychaeta,Polychaeta,Zooplankton,Daption_capense,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
461,Doryteuthis_gahi,Cephalopoda,Cephalopods,Daption_capense,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
462,Doryteuthis_gahi,Cephalopoda,Cephalopods,Daption_capense,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
463,Pseudosagitta_gazellae,Chaetognatha,Zooplankton,Daption_capense,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
464,RhinCalanoida_gigas,Copepoda,Zooplankton,Daption_capense,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
465,Doryteuthis_gahi,Cephalopoda,Cephalopods,Dissostichus_eleginoides,Perciformes,Fish_Demersal,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
466,Doryteuthis_gahi,Cephalopoda,Cephalopods,Dissostichus_eleginoides,Perciformes,Fish_Demersal,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
467,Enteroctopus_megalocyathus,Cephalopoda,Cephalopods,Dissostichus_eleginoides,Perciformes,Fish_Demersal,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
468,Grimothea_gregaria,Malacostraca,Crustaceans,Dissostichus_eleginoides,Perciformes,Fish_Demersal,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
469,Pagurus_comptus,Decapoda,Crustaceans,Dissostichus_eleginoides,Perciformes,Fish_Demersal,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
470,Dissostichus_eleginoides,Perciformes,Fish_Demersal,Thalassarche_chrysostoma,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
471,Sprattus_fuegensis,Clupeiformes,Sardinas,Lagenorhynchus_cruciger,Delphinidae,Sea mammals,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
472,Pseudosagitta_gazellae,Chaetognatha,Zooplankton,Micromesistius_australis,Gadiformes,Fish,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
473,Neocalanoida_tonsus,Copepoda,Zooplankton,Balaenoptera_physalus,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
474,Doryteuthis_gahi,Cephalopoda,Cephalopods,Otaria_flBirdscens,Carnivora,Sea mammals,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
475,Ophidiidae,Ophidiiformes,Fish,Otaria_flBirdscens,Carnivora,Sea mammals,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
476,Themisto_gaudichaudii,Malacostraca,Crustaceans,Patagonotothen_guntheri,Perciformes,Fish,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
477,Cirratulidae,Polychaeta,Zooplankton,Patagonotothen_guntheri,Perciformes,Fish,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
478,Tinerfe_cyanea,Ctenophora,Zooplankton,Patagonotothen_guntheri,Perciformes,Fish,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
479,Polychaeta,Polychaeta,Zooplankton,Pelagobia_longicirrata,Polychaeta,Zooplankton,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
480,Pseudosagitta_gazellae,Chaetognatha,Zooplankton,Pelagobia_longicirrata,Polychaeta,Zooplankton,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
