ID,Presa,Grupo funcional presa,Depredador,Grupo funcional depredador,Estrategia,Fuente,Referencia,Enlace
80,Cottoperca_gobio,Perciformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
81,Coelorinchus_fasciatus,Gadiformes ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
82,Iluocoetes_fimbriatus,Perciformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
83,Cottunculus_granulosus,Perciformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
84,Dissostichus_eleginoides,Perciformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
85,Genypterus_blacodes,Ophidiiformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
86,Nototeniidae*,Perciformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
87,Micromesistius_australis,Gadiformes ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
88,Patagonotothen_ramsayi,Perciformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
89,Pseudocythus_maculatus,Zeiformes ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
90,Myctophidae* ,Myctophiformes ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
91,Bathyraja_macloviana,Rajiformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
92,Eleginops_maclovinus,Perciformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
93,Zoarcidae*,Perciformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
94,Patagonotothen* ,Perciformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
95,Patagonotothen_sima,Perciformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
96,Patagonotothen_tessellata,Perciformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
97,Sprattus_fuegensis,Clupeiformes ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
98,Loligo_gahi,Cephalopoda ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
99,llex*,Cephalopoda ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
100,Ilex_argentinus,Cephalopoda ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
101,Moroteuthis_ingens,Cephalopoda ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
102,Semirrosia_tenera,Cephalopoda ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
104,Enteroctopus_megalocyathus,Cephalopoda ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
105,Campylognathus_vagans,Malacostraca,Pseudorca_crassidens,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
106,Munida_gregaria,Malacostraca,Pseudorca_crassidens,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
107,Euphausia_lucens,Malacostraca,Pseudorca_crassidens,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
108,Calanus_australis,Copepoda ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
109,Themisto_gaudichaudii,Malacostraca,Pseudorca_crassidens,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
110,Odonthestes*,Atheriniformes,Cephalorhynchus_commersonii,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
111,Sprattus_fuegensis,Clupeiformes ,Cephalorhynchus_commersonii,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
112,Merluccius_hubbsi,Gadiformes ,Cephalorhynchus_commersonii,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
113,Merluccius_australis,Gadiformes ,Cephalorhynchus_commersonii,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
114,Salilota_australis,Gadiformes ,Cephalorhynchus_commersonii,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
115,Nototeniidae*,Perciformes,Cephalorhynchus_commersonii,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
116,Micromesistius_australis,Gadiformes ,Cephalorhynchus_commersonii,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
117,Genypterus_blacodes,Ophidiiformes,Cephalorhynchus_commersonii,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
118,Ilex_argentinus,Cephalopoda ,Cephalorhynchus_commersonii,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
119,Loligo_gahi,Cephalopoda ,Cephalorhynchus_commersonii,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
120,Merluccius_hubbsi,Gadiformes ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
121,Merluccius_australis,Gadiformes ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
122,Salilota_australis,Gadiformes ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
123,Macruronus_magellanicus,Gadiformes ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
124,Cottoperca_gobio,Gadiformes ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
125,Coelorinchus_fasciatus,Gadiformes ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
126,Iluocoetes_fimbriatus,Perciformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
127,Cottunculus_granulosus,Perciformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
128,Dissostichus_eleginoides,Perciformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
129,Genypterus_blacodes,Ophidiiformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
130,Nototeniidae*,Perciformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
131,Micromesistius_australis,Gadiformes ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
132,Patagonotothen_ramsayi,Perciformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
133,Pseudocythus_maculatus,Zeiformes ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
134,Myctophidae* ,Myctophiformes ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
135,Bathyraja_macloviana,Rajiformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
136,Eleginops_maclovinus,Perciformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
137,Zoarcidae*,Perciformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
138,Patagonotothen* ,Perciformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
139,Patagonotothen_sima,Perciformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
140,Patagonotothen_tessellata,Perciformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
141,Odonthestes*,Atheriniformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
142,Sprattus_fuegensis,Clupeiformes ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
143,Loligo_gahi,Cephalopoda ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
144,llex,Cephalopoda ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
145,Ilex_argentinus,Cephalopoda ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
146,Moroteuthis_ingens,Cephalopoda ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
147,Semirrosia_tenera,Cephalopoda ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
148,Enteroctopus_megalocyathus,Cephalopoda ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
149,Campylognathus_vagans,Malacostraca,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
150,Munida_gregaria,Malacostraca,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
151,Euphausia_lucens,Malacostraca,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
152,Calanus_australis,Copepoda ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
153,Themisto_gaudichaudii,Malacostraca,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
154,Odonthestes*,Atheriniformes,Phocoena_spinipinnis,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
155,Sprattus_fuegensis,Clupeiformes ,Phocoena_spinipinnis,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
156,Merluccius_hubbsi,Gadiformes ,Phocoena_spinipinnis,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
157,Merluccius_australis,Gadiformes ,Phocoena_spinipinnis,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
158,Salilota_australis,Gadiformes ,Phocoena_spinipinnis,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
159,Nototeniidae*,Perciformes,Phocoena_spinipinnis,Phocoenidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
