ID,Prey,Prey funtional group,Prey expertise,Predator,Predator funtional group,Predator expertise,Strategy,Source,Reference,Link,Observations
394,Doryteuthis_gahi,Cephalopoda,Cephalopods,Macronectes_giganteus,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
395,Iluocoetes_fimbriatus,Perciformes,Fish,Lagenorhynchus_australis,Delphinidae,Sea mammals,Hunter,Heterotroph,Marina_etal_enprep.,NA,
396,Doryteuthis_gahi,Cephalopoda,Cephalopods,Lagenorhynchus_cruciger,Delphinidae,Sea mammals,Hunter,Heterotroph,Marina_etal_enprep.,NA,
397,Doryteuthis_gahi,Cephalopoda,Cephalopods,Ziphiidae,Ziphiidae,Sea mammals,Hunter,Heterotroph,Marina_etal_enprep.,NA,
398,Dissostichus_eleginoides,Perciformes,Fish_Demersal,Ziphiidae,Ziphiidae,Sea mammals,Hunter,Heterotroph,Marina_etal_enprep.,NA,
399,Micromesistius_australis,Gadiformes,Fish,Ziphiidae,Ziphiidae,Sea mammals,Hunter,Heterotroph,Marina_etal_enprep.,NA,
400,Dissostichus_eleginoides,Perciformes,Fish_Demersal,Ziphiidae,Ziphiidae,Sea mammals,Hunter,Heterotroph,Marina_etal_enprep.,NA,
401,Micromesistius_australis,Gadiformes,Fish,Ziphiidae,Ziphiidae,Sea mammals,Hunter,Heterotroph,Marina_etal_enprep.,NA,
402,Doryteuthis_gahi,Cephalopoda,Cephalopods,Ziphiidae,Ziphiidae,Sea mammals,Hunter,Heterotroph,Marina_etal_enprep.,NA,
403,Dissostichus_eleginoides,Perciformes,Fish_Demersal,Ziphiidae,Ziphiidae,Sea mammals,Hunter,Heterotroph,Marina_etal_enprep.,NA,
404,Micromesistius_australis,Gadiformes,Fish,Ziphiidae,Ziphiidae,Sea mammals,Hunter,Heterotroph,Marina_etal_enprep.,NA,
405,Doryteuthis_gahi,Cephalopoda,Cephalopods,Ziphiidae,Ziphiidae,Sea mammals,Hunter,Heterotroph,Marina_etal_enprep.,NA,
406,Dissostichus_eleginoides,Perciformes,Fish_Demersal,Ziphiidae,Ziphiidae,Sea mammals,Hunter,Heterotroph,Marina_etal_enprep.,NA,
407,Micromesistius_australis,Gadiformes,Fish,Ziphiidae,Ziphiidae,Sea mammals,Hunter,Heterotroph,Marina_etal_enprep.,NA,
408,Doryteuthis_gahi,Cephalopoda,Cephalopods,Ziphiidae,Ziphiidae,Sea mammals,Hunter,Heterotroph,Marina_etal_enprep.,NA,
409,Dissostichus_eleginoides,Perciformes,Fish_Demersal,Ziphiidae,Ziphiidae,Sea mammals,Hunter,Heterotroph,Marina_etal_enprep.,NA,
410,Micromesistius_australis,Gadiformes,Fish,Ziphiidae,Ziphiidae,Sea mammals,Hunter,Heterotroph,Marina_etal_enprep.,NA,
411,Doryteuthis_gahi,Cephalopoda,Cephalopods,Ziphiidae,Ziphiidae,Sea mammals,Hunter,Heterotroph,Marina_etal_enprep.,NA,
412,Dissostichus_eleginoides,Perciformes,Fish_Demersal,Ziphiidae,Ziphiidae,Sea mammals,Hunter,Heterotroph,Marina_etal_enprep.,NA,
413,Micromesistius_australis,Gadiformes,Fish,Ziphiidae,Ziphiidae,Sea mammals,Hunter,Heterotroph,Marina_etal_enprep.,NA,
414,Polychaeta,Polychaeta,Zooplankton,Themisto_gaudichaudii,Malacostraca,Crustaceans,Hunter,Heterotroph,Marina_etal_enprep.,NA,Infered from Pelagobia_longicirrata
415,Pseudosagitta_gazellae,Chaetognatha,Zooplankton,Themisto_gaudichaudii,Malacostraca,Crustaceans,Hunter,Heterotroph,Marina_etal_enprep.,NA,
416,Themisto_gaudichaudii,Malacostraca,Crustaceans,Daption_capense,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
417,Themisto_gaudichaudii,Malacostraca,Crustaceans,Eudyptes_chrysocome,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
418,Macrourus_carinatus,Gadiformes,Fish,Thalassarche_chrysostoma,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
419,Macrourus_holotrachys,Gadiformes,Fish,Thalassarche_chrysostoma,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
420,Coelorinchus_fasciatus,Gadiformes,Fish,Thalassarche_chrysostoma,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
421,Pseudechinus_magellanicus,Echinoidea,Echinoderm,Paralomis_granulosa,Decapoda,Crustaceans,Hunter,Heterotroph,Marina_etal_enprep.,NA,
422,Gastropoda_others,Gastropoda,Gastropods,Paralomis_granulosa,Decapoda,Crustaceans,Hunter,Heterotroph,Marina_etal_enprep.,NA,
423,Themisto_gaudichaudii,Malacostraca,Crustaceans,Sprattus_fuegensis,Clupeiformes,Sardinas,Hunter,Heterotroph,Marina_etal_enprep.,NA,
424,Ophidiidae,Ophidiiformes,Fish,Bathyraja_brachyurops,Rajiformes, Chondrichthyans,Hunter,Heterotroph,Marina_etal_enprep.,NA,
425,Phytoplankton,Phytoplankton,Phytoplankton,Neocalanoida_tonsus,Copepoda,Zooplankton,Hunter,Heterotroph,Marina_etal_enprep.,NA,Infered from Dinophysis_acuminata
426,Doryteuthis_gahi,Cephalopoda,Cephalopods,Thalassarche_melanophris,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
427,Micromesistius_australis,Gadiformes,Fish,Thalassarche_melanophris,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
428,Doryteuthis_gahi,Cephalopoda,Cephalopods,Thalassarche_chrysostoma,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
429,Doryteuthis_gahi,Cephalopoda,Cephalopods,Fulmarus_glacialoides,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
430,Doryteuthis_gahi,Cephalopoda,Cephalopods,Eudyptes_chrysocome,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
431,Micromesistius_australis,Gadiformes,Fish,Spheniscus_magellanicus,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
432,Grimothea_gregaria,Malacostraca,Crustaceans,Balaenoptera_physalus,Balaenopteridae,Sea mammals,Filter,Heterotroph,Marina_etal_enprep.,NA,
433,Sprattus_fuegensis,Clupeiformes,Sardinas,Spheniscus_magellanicus,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
434,Coelorinchus_fasciatus,Gadiformes,Fish,Ophidiidae,Ophidiiformes,Fish,Hunter,Heterotroph,Marina_etal_enprep.,NA,
435,Salilota_australis,Gadiformes,Fish,Ophidiidae,Ophidiiformes,Fish,Hunter,Heterotroph,Marina_etal_enprep.,NA,Infered from Moridae
436,Micromesistius_australis,Gadiformes,Fish,Ophidiidae,Ophidiiformes,Fish,Hunter,Heterotroph,Marina_etal_enprep.,NA,
437,Patagonotothen_guntheri,Perciformes,Fish,Thalassarche_melanophris,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
438,Themisto_gaudichaudii,Malacostraca,Crustaceans,Dissostichus_eleginoides,Perciformes,Fish_Demersal,Hunter,Heterotroph,Marina_etal_enprep.,NA,
439,Doryteuthis_gahi,Cephalopoda,Cephalopods,Ophidiidae,Ophidiiformes,Fish,Hunter,Heterotroph,Marina_etal_enprep.,NA,
