"resource","consumer"
"Alluroteuthis antarcticus","Gymnoscopelus opisthopterus"
"Alluroteuthis antarcticus","Histioteuthis eltaninae"
"Alluroteuthis antarcticus","Kondakovia longimana"
"Alluroteuthis antarcticus","Mastigoteuthis"
"Alluroteuthis antarcticus","Megalocranchia"
"Alluroteuthis antarcticus","Psychroteuthis glacialis"
"Alluroteuthis antarcticus","Slosarczykovia circumantarctica"
"Aloricate ciliates","Calanoides acutus"
"Aloricate ciliates","Calanus propinquus"
"Aloricate ciliates","Euphausia superba"
"Aloricate ciliates","Euphausia triacantha"
"Aloricate ciliates","Metridia curticauda"
"Aloricate ciliates","Metridia gerlachei"
"Aloricate ciliates","Metridia lucens"
"Aloricate ciliates","Microsetella norvegica"
"Aloricate ciliates","Oithona frigida"
"Aloricate ciliates","Oithona similis"
"Aloricate ciliates","Rhincalanus gigas"
"Amphidinium","Appendicularia"
"Amphidinium","Calanoides acutus"
"Amphidinium","Calanus propinquus"
"Amphidinium","Clio piatkowskii"
"Amphidinium","Clio pyramidata"
"Amphidinium","Cyphocaris faurei"
"Amphidinium","Cyphocaris richardi"
"Amphidinium","Euphausia frigida"
"Amphidinium","Euphausia superba"
"Amphidinium","Eusiroides stenopleura"
"Amphidinium","Gaetanus tenuispinus"
"Amphidinium","Metridia gerlachei"
"Amphidinium","Metridia lucens"
"Amphidinium","Microcalanus pygmaeus"
"Amphidinium","Microsetella norvegica"
"Amphidinium","Oithona frigida"
"Amphidinium","Oithona similis"
"Amphidinium","Pleuromamma abdominalis"
"Amphidinium","Pleuromamma antarctica"
"Amphidinium","Racovitzanus antarcticus"
"Amphidinium","Rhincalanus gigas"
"Amphidinium","Salpa thompsoni"
"Amphidinium","Scaphocalanus australis"
"Amphidinium","Scolecithricella minor"
"Amphidinium","Thysanoessa vicina"
"Amphidinium","Vibilia antarctica"
"Amphisolenia","Appendicularia"
"Amphisolenia","Calanoides acutus"
"Amphisolenia","Calanus propinquus"
"Amphisolenia","Clio piatkowskii"
"Amphisolenia","Clio pyramidata"
"Amphisolenia","Cyphocaris faurei"
"Amphisolenia","Cyphocaris richardi"
"Amphisolenia","Euphausia frigida"
"Amphisolenia","Euphausia superba"
"Amphisolenia","Eusiroides stenopleura"
"Amphisolenia","Gaetanus tenuispinus"
"Amphisolenia","Metridia gerlachei"
"Amphisolenia","Metridia lucens"
"Amphisolenia","Microcalanus pygmaeus"
"Amphisolenia","Microsetella norvegica"
"Amphisolenia","Oithona frigida"
"Amphisolenia","Oithona similis"
"Amphisolenia","Pleuromamma abdominalis"
"Amphisolenia","Pleuromamma antarctica"
"Amphisolenia","Racovitzanus antarcticus"
"Amphisolenia","Rhincalanus gigas"
"Amphisolenia","Salpa thompsoni"
"Amphisolenia","Scaphocalanus australis"
"Amphisolenia","Scolecithricella minor"
"Amphisolenia","Thysanoessa vicina"
"Amphisolenia","Vanadis"
"Amphisolenia","Vibilia antarctica"
"Antarctomysis maxima","Acanthephyra pelagica"
"Antarctomysis maxima","Bathyteuthis abyssicola"
"Antarctomysis maxima","Batoteuthis skolops"
"Antarctomysis maxima","Beroe"
"Antarctomysis maxima","Callianira"
"Antarctomysis maxima","Electrona antarctica"
"Antarctomysis maxima","Galiteuthis glacialis"
"Antarctomysis maxima","Gigantocypris muelleri"
"Antarctomysis maxima","Gonatus antarcticus"
"Antarctomysis maxima","Gymnoscopelus braueri"
"Antarctomysis maxima","Gymnoscopelus nicholsi"
"Antarctomysis maxima","Mastigoteuthis"
"Antarctomysis maxima","Megalocranchia"
"Antarctomysis maxima","Pasiphaea scotiae"
"Antarctomysis maxima","Pleurobrachia"
"Antarctomysis maxima","Protomyctophum bolini"
"Antarctomysis maxima","Protomyctophum choriodon"
"Antarctomysis maxima","Slosarczykovia circumantarctica"
"Antarctomysis maxima","Stoloteuthis leucoptera"
"Appendicularia","Borostomias antarcticus"
"Appendicularia","Candacia"
"Appendicularia","Cyclothone"
"Appendicularia","Cyllopus lucasii"
"Appendicularia","Cyllopus magellanicus"
"Appendicularia","Electrona antarctica"
"Appendicularia","Eukrohnia hamata"
"Appendicularia","Gigantocypris muelleri"
"Appendicularia","Gymnoscopelus braueri"
