ID,Presa,Grupo funcional presa,Expertise presa,Depredador,Grupo funcional depredador,Expertise depredador,Estrategia,Fuente,Referencia,Enlace,Observaciones
30,Merlucciidae ,Gadiformes,Peces demersales,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
31,Cottoperca_trigloides,Perciformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
32,Coelorinchus_fasciatus,Gadiformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
33,Iluocoetes_fimbriatus,Perciformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
34,Cottunculus_granulosus,Perciformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
35,Dissostichus_eleginoides,Perciformes,Peces demersales,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
36,Ophidiidae,Ophidiiformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
37,Nototheniidae_spp,Perciformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
38,Micromesistius_australis,Gadiformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
39,Patagonotothen_ramsayi,Perciformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
40,Zeiformes_sp,Zeiformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
41,Myctophidae_spp,Myctophiformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
42,Bathyraja_macloviana,Rajiformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
43,Nototheniidae_spp,Perciformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,Infered from Eleginops_maclovinus
44,Zoarcidae,Perciformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
45,Patagonotothen_sp,Perciformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
46,Sprattus_fuegensis,Clupeiformes,Sardinas,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
47,Doryteuthis_gahi,Cephalopoda,Cefalopodos,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
48,Illex_argentinus,Cephalopoda,Cefalopodos,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
49,Cephalopoda_otros,Cephalopoda,Cefalopodos,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
50,Cephalopoda_otros,Cephalopoda,Cefalopodos,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
51,Enteroctopus_megalocyathus,Cephalopoda,Cefalopodos,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
52,Micromesistius_australis,Perciformes,Peces,Lissodelphis_peronii,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
53,Coelorinchus_fasciatus,Gadiformes,Peces,Lissodelphis_peronii,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
54,Nototheniidae_spp,Perciformes,Peces,Lissodelphis_peronii,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
55,Iluocoetes_fimbriatus,Perciformes,Peces,Lissodelphis_peronii,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
56,Doryteuthis_gahi,Cephalopoda,Cefalopodos,Lissodelphis_peronii,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
57,Illex_argentinus,Cephalopoda,Cefalopodos,Lissodelphis_peronii,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
58,Cephalopoda_otros,Cephalopoda,Cefalopodos,Lissodelphis_peronii,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
59,Cephalopoda_otros,Cephalopoda,Cefalopodos,Globicephala_melas,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Van Waerebeek, K. et al_2010",https://doi.org/10.47536/jcrm.v11i3.611,
