"resource","consumer"
"Aetideus","Vanadis"
"Aetideus","Zanclonia weldoni"
"Alacia hettacra","Calycopsis borchgrevinki"
"Alacia hettacra","Candacia"
"Alacia hettacra","Corycaeus"
"Alacia hettacra","Dimophyes arctica"
"Alacia hettacra","Diphyes antarctica"
"Alacia hettacra","Electrona antarctica"
"Alacia hettacra","Electrona carlsbergi"
"Alacia hettacra","Eudoxoides spiralis"
"Alacia hettacra","Eukrohnia hamata"
"Alacia hettacra","Euphausia frigida"
"Alacia hettacra","Euphausia triacantha"
"Alacia hettacra","Gigantocypris muelleri"
"Alacia hettacra","Gilia reticulata"
"Alacia hettacra","Gymnoscopelus bolini"
"Alacia hettacra","Gymnoscopelus braueri"
"Alacia hettacra","Gymnoscopelus fraseri"
"Alacia hettacra","Gymnoscopelus hintonoides"
"Alacia hettacra","Gymnoscopelus nicholsi"
"Alacia hettacra","Gymnoscopelus piabilis"
"Alacia hettacra","Hippopodiidae"
"Alacia hettacra","Krefftichthys anderssoni"
"Alacia hettacra","Lampanyctus"
"Alacia hettacra","Melanostigma gelatinosum"
"Alacia hettacra","Muggiaea bargmannae"
"Alacia hettacra","Nannobrachium achirus"
"Alacia hettacra","Nansenia antarctica"
"Alacia hettacra","Neognathophausia gigas"
"Alacia hettacra","Notolepis coatsi"
"Alacia hettacra","Pandea rubra"
"Alacia hettacra","Pelagobia longicirrata"
"Alacia hettacra","Poromitra crassiceps"
"Alacia hettacra","Protomyctophum andriashevi"
"Alacia hettacra","Protomyctophum bolini"
"Alacia hettacra","Protomyctophum choriodon"
"Alacia hettacra","Protomyctophum luciferum"
"Alacia hettacra","Protomyctophum tenisoni"
"Alacia hettacra","Pyrostephos vanhoeffeni"
"Alacia hettacra","Sagitta gazellae"
"Alacia hettacra","Stygiomedusa gigantea"
"Alacia hettacra","Symbolophorus boops"
"Alacia hettacra","Vanadis"
"Alluroteuthis antarcticus","Alluroteuthis antarcticus"
"Alluroteuthis antarcticus","Bathyteuthis abyssicola"
"Alluroteuthis antarcticus","Batoteuthis skolops"
"Alluroteuthis antarcticus","Brachioteuthis linkovskyi"
"Alluroteuthis antarcticus","Brachioteuthis picta"
"Alluroteuthis antarcticus","Chiroteuthis veranyi"
"Alluroteuthis antarcticus","Dissostichus eleginoides"
"Alluroteuthis antarcticus","Electrona carlsbergi"
"Alluroteuthis antarcticus","Filippovia knipovitchi"
"Alluroteuthis antarcticus","Galiteuthis glacialis"
"Alluroteuthis antarcticus","Gigantocypris muelleri"
"Alluroteuthis antarcticus","Gonatus antarcticus"
"Alluroteuthis antarcticus","Gymnoscopelus bolini"
"Alluroteuthis antarcticus","Gymnoscopelus hintonoides"
"Alluroteuthis antarcticus","Gymnoscopelus opisthopterus"
"Alluroteuthis antarcticus","Histioteuthis eltaninae"
"Alluroteuthis antarcticus","Kondakovia longimana"
"Alluroteuthis antarcticus","Martialia hyadesi"
"Alluroteuthis antarcticus","Mastigoteuthis"
"Alluroteuthis antarcticus","Megalocranchia"
"Alluroteuthis antarcticus","Onykia ingens"
"Alluroteuthis antarcticus","Psychroteuthis glacialis"
"Alluroteuthis antarcticus","Slosarczykovia circumantarctica"
"Aloricate ciliates","Calanoides acutus"
"Aloricate ciliates","Calanus australis"
"Aloricate ciliates","Calanus propinquus"
"Aloricate ciliates","Calanus simillimus"
"Aloricate ciliates","Clausocalanus ingens"
"Aloricate ciliates","Clausocalanus laticeps"
"Aloricate ciliates","Drepanopus forcipatus"
"Aloricate ciliates","Drepanopus pectinatus"
"Aloricate ciliates","Euphausia superba"
"Aloricate ciliates","Euphausia triacantha"
"Aloricate ciliates","Euphausia vallentini"
"Aloricate ciliates","Metridia curticauda"
"Aloricate ciliates","Metridia gerlachei"
"Aloricate ciliates","Metridia lucens"
"Aloricate ciliates","Microsetella norvegica"
"Aloricate ciliates","Neocalanus tonsus"
"Aloricate ciliates","Oithona frigida"
"Aloricate ciliates","Oithona similis"
"Aloricate ciliates","Rhincalanus gigas"
"Aloricate ciliates","Subeucalanus longiceps"
"Amphidinium","Appendicularia"
"Amphidinium","Calanoides acutus"
"Amphidinium","Calanus propinquus"
"Amphidinium","Calanus simillimus"
"Amphidinium","Clausocalanus ingens"
"Amphidinium","Clausocalanus laticeps"
"Amphidinium","Clio piatkowskii"
"Amphidinium","Clio pyramidata"
"Amphidinium","Ctenocalanus citer"
"Amphidinium","Cyphocaris faurei"
"Amphidinium","Cyphocaris richardi"
"Amphidinium","Drepanopus forcipatus"
"Amphidinium","Drepanopus pectinatus"
"Amphidinium","Euphausia frigida"
"Amphidinium","Euphausia superba"
"Amphidinium","Euphausia vallentini"
"Amphidinium","Eusiroides stenopleura"
"Amphidinium","Gaetanus tenuispinus"
"Amphidinium","Metridia gerlachei"
"Amphidinium","Metridia lucens"
"Amphidinium","Microcalanus pygmaeus"
"Amphidinium","Microsetella norvegica"
"Amphidinium","Neocalanus tonsus"
"Amphidinium","Oithona frigida"
"Amphidinium","Oithona similis"
"Amphidinium","Pleuromamma abdominalis"
"Amphidinium","Pleuromamma antarctica"
"Amphidinium","Racovitzanus antarcticus"
"Amphidinium","Rhincalanus gigas"
"Amphidinium","Salpa thompsoni"
"Amphidinium","Scaphocalanus australis"
"Amphidinium","Scolecithricella minor"
"Amphidinium","Subeucalanus longiceps"
"Amphidinium","Thysanoessa vicina"
"Amphidinium","Vibilia antarctica"
"Amphisolenia","Appendicularia"
"Amphisolenia","Calanoides acutus"
"Amphisolenia","Calanus propinquus"
"Amphisolenia","Calanus simillimus"
"Amphisolenia","Clausocalanus ingens"
"Amphisolenia","Clausocalanus laticeps"
"Amphisolenia","Clio piatkowskii"
"Amphisolenia","Clio pyramidata"
"Amphisolenia","Ctenocalanus citer"
"Amphisolenia","Cyphocaris faurei"
"Amphisolenia","Cyphocaris richardi"
"Amphisolenia","Drepanopus forcipatus"
"Amphisolenia","Drepanopus pectinatus"
"Amphisolenia","Euphausia frigida"
"Amphisolenia","Euphausia superba"
"Amphisolenia","Euphausia vallentini"
"Amphisolenia","Eusiroides stenopleura"
"Amphisolenia","Gaetanus tenuispinus"
"Amphisolenia","Metridia gerlachei"
"Amphisolenia","Metridia lucens"
"Amphisolenia","Microcalanus pygmaeus"
"Amphisolenia","Microsetella norvegica"
"Amphisolenia","Neocalanus tonsus"
"Amphisolenia","Oithona frigida"
"Amphisolenia","Oithona similis"
"Amphisolenia","Pleuromamma abdominalis"
"Amphisolenia","Pleuromamma antarctica"
"Amphisolenia","Racovitzanus antarcticus"
"Amphisolenia","Rhincalanus gigas"
"Amphisolenia","Salpa thompsoni"
"Amphisolenia","Scaphocalanus australis"
"Amphisolenia","Scolecithricella minor"
"Amphisolenia","Subeucalanus longiceps"
"Amphisolenia","Thysanoessa vicina"
"Amphisolenia","Vanadis"
"Amphisolenia","Vibilia antarctica"
"Antarctomysis maxima","Acanthephyra pelagica"
"Antarctomysis maxima","Bathyteuthis abyssicola"
"Antarctomysis maxima","Batoteuthis skolops"
"Antarctomysis maxima","Beroe"
"Antarctomysis maxima","Brachioteuthis linkovskyi"
"Antarctomysis maxima","Callianira"
"Antarctomysis maxima","Chiroteuthis veranyi"
"Antarctomysis maxima","Electrona antarctica"
"Antarctomysis maxima","Electrona subaspera"
"Antarctomysis maxima","Galiteuthis glacialis"
"Antarctomysis maxima","Gigantocypris muelleri"
"Antarctomysis maxima","Gonatus antarcticus"
"Antarctomysis maxima","Gymnoscopelus braueri"
"Antarctomysis maxima","Gymnoscopelus fraseri"
"Antarctomysis maxima","Gymnoscopelus hintonoides"
"Antarctomysis maxima","Gymnoscopelus nicholsi"
"Antarctomysis maxima","Mastigoteuthis"
"Antarctomysis maxima","Megalocranchia"
"Antarctomysis maxima","Onykia ingens"
"Antarctomysis maxima","Pasiphaea scotiae"
"Antarctomysis maxima","Pleurobrachia"
"Antarctomysis maxima","Poromitra crassiceps"
"Antarctomysis maxima","Protomyctophum bolini"
"Antarctomysis maxima","Protomyctophum choriodon"
"Antarctomysis maxima","Slosarczykovia circumantarctica"
"Antarctomysis maxima","Stoloteuthis leucoptera"
"Appendicularia","Borostomias antarcticus"
"Appendicularia","Candacia"
"Appendicularia","Cyclothone"
"Appendicularia","Cyllopus lucasii"
"Appendicularia","Cyllopus magellanicus"
"Appendicularia","Electrona antarctica"
"Appendicularia","Eukrohnia hamata"
"Appendicularia","Gigantocypris muelleri"
"Appendicularia","Gymnoscopelus braueri"
"Appendicularia","Gymnoscopelus hintonoides"
"Appendicularia","Lanceola"
"Appendicularia","Microsetella norvegica"
"Appendicularia","Nansenia antarctica"
"Appendicularia","Pleurobrachia"
"Appendicularia","Sagitta gazellae"
"Appendicularia","Symbolophorus boops"
"Appendicularia","Vanadis"
"Arctozenus risso","Alluroteuthis antarcticus"
"Arctozenus risso","Arctozenus risso"
"Arctozenus risso","Bathyteuthis abyssicola"
"Arctozenus risso","Batoteuthis skolops"
"Arctozenus risso","Benthalbella elongata"
"Arctozenus risso","Benthalbella macropinna"
"Arctozenus risso","Borostomias antarcticus"
"Arctozenus risso","Calycopsis borchgrevinki"
"Arctozenus risso","Chiroteuthis veranyi"
"Arctozenus risso","Cyclothone"
"Arctozenus risso","Desmonema glaciale"
"Arctozenus risso","Dimophyes arctica"
"Arctozenus risso","Diphyes antarctica"
"Arctozenus risso","Electrona antarctica"
"Arctozenus risso","Electrona carlsbergi"
"Arctozenus risso","Electrona subaspera"
"Arctozenus risso","Eudoxoides spiralis"
"Arctozenus risso","Filippovia knipovitchi"
"Arctozenus risso","Galiteuthis glacialis"
"Arctozenus risso","Gennadas kempi"
"Arctozenus risso","Gigantocypris muelleri"
"Arctozenus risso","Gilia reticulata"
"Arctozenus risso","Gonatus antarcticus"
"Arctozenus risso","Gymnoscopelus bolini"
"Arctozenus risso","Gymnoscopelus braueri"
"Arctozenus risso","Gymnoscopelus fraseri"
"Arctozenus risso","Gymnoscopelus hintonoides"
"Arctozenus risso","Kondakovia longimana"
"Arctozenus risso","Krefftichthys anderssoni"
"Arctozenus risso","Marrus antarcticus"
"Arctozenus risso","Martialia hyadesi"
"Arctozenus risso","Mastigoteuthis"
"Arctozenus risso","Megalocranchia"
"Arctozenus risso","Muggiaea bargmannae"
"Arctozenus risso","Neognathophausia gigas"
"Arctozenus risso","Onykia ingens"
"Arctozenus risso","Pandea rubra"
"Arctozenus risso","Parandania boecki"
"Arctozenus risso","Petalidium foliaceum"
"Arctozenus risso","Pleuragramma antarcticum"
"Arctozenus risso","Pleurobrachia"
"Arctozenus risso","Protomyctophum tenisoni"
"Arctozenus risso","Psychroteuthis glacialis"
"Arctozenus risso","Sergestes"
"Arctozenus risso","Slosarczykovia circumantarctica"
"Arctozenus risso","Stomias gracilis"
"Arctozenus risso","Zanclonia weldoni"
"Atolla wyvillei","Atolla wyvillei"
"Atolla wyvillei","Borostomias antarcticus"
"Atolla wyvillei","Cyclothone"
"Atolla wyvillei","Cyphocaris faurei"
"Atolla wyvillei","Cyphocaris richardi"
"Atolla wyvillei","Eurythenes obesus"
"Atolla wyvillei","Gigantocypris muelleri"
"Atolla wyvillei","Hyperia macrocephala"
"Atolla wyvillei","Lucicutia"
"Atolla wyvillei","Parandania boecki"
"Atolla wyvillei","Paraphyllina ransoni"
"Atolla wyvillei","Periphylla periphylla"
"Atolla wyvillei","Stygiomedusa gigantea"
"Austrinoecia isocheira","Calycopsis borchgrevinki"
"Austrinoecia isocheira","Candacia"
"Austrinoecia isocheira","Corycaeus"
"Austrinoecia isocheira","Dimophyes arctica"
"Austrinoecia isocheira","Diphyes antarctica"
"Austrinoecia isocheira","Electrona antarctica"
"Austrinoecia isocheira","Electrona carlsbergi"
"Austrinoecia isocheira","Eudoxoides spiralis"
"Austrinoecia isocheira","Eukrohnia hamata"
"Austrinoecia isocheira","Euphausia frigida"
"Austrinoecia isocheira","Euphausia triacantha"
"Austrinoecia isocheira","Gigantocypris muelleri"
"Austrinoecia isocheira","Gilia reticulata"
"Austrinoecia isocheira","Gymnoscopelus bolini"
"Austrinoecia isocheira","Gymnoscopelus braueri"
"Austrinoecia isocheira","Gymnoscopelus fraseri"
"Austrinoecia isocheira","Gymnoscopelus hintonoides"
"Austrinoecia isocheira","Gymnoscopelus nicholsi"
"Austrinoecia isocheira","Gymnoscopelus piabilis"
"Austrinoecia isocheira","Hippopodiidae"
"Austrinoecia isocheira","Krefftichthys anderssoni"
"Austrinoecia isocheira","Lampanyctus"
"Austrinoecia isocheira","Melanostigma gelatinosum"
"Austrinoecia isocheira","Muggiaea bargmannae"
"Austrinoecia isocheira","Nannobrachium achirus"
"Austrinoecia isocheira","Nansenia antarctica"
"Austrinoecia isocheira","Neognathophausia gigas"
"Austrinoecia isocheira","Notolepis coatsi"
"Austrinoecia isocheira","Pandea rubra"
"Austrinoecia isocheira","Pelagobia longicirrata"
"Austrinoecia isocheira","Poromitra crassiceps"
"Austrinoecia isocheira","Protomyctophum andriashevi"
"Austrinoecia isocheira","Protomyctophum bolini"
"Austrinoecia isocheira","Protomyctophum choriodon"
"Austrinoecia isocheira","Protomyctophum luciferum"
"Austrinoecia isocheira","Protomyctophum tenisoni"
"Austrinoecia isocheira","Pyrostephos vanhoeffeni"
"Austrinoecia isocheira","Sagitta gazellae"
"Austrinoecia isocheira","Stygiomedusa gigantea"
"Austrinoecia isocheira","Symbolophorus boops"
"Austrinoecia isocheira","Vanadis"
"Bacteria","Acantharea"
"Bacteria","Aloricate ciliates"
"Bacteria","Codonellopsis"
"Bacteria","Cymatocylis"
"Bacteria","Foraminifera"
"Bacteria","Laackmanniella"
"Bacteria","Microsetella norvegica"
"Bacteria","Rhabdonella"
"Bacteria","Tintinnopsis"
"Bathyteuthis abyssicola","Alluroteuthis antarcticus"
"Bathyteuthis abyssicola","Bathyteuthis abyssicola"
"Bathyteuthis abyssicola","Batoteuthis skolops"
"Bathyteuthis abyssicola","Brachioteuthis linkovskyi"
"Bathyteuthis abyssicola","Brachioteuthis picta"
"Bathyteuthis abyssicola","Chiroteuthis veranyi"
"Bathyteuthis abyssicola","Electrona carlsbergi"
"Bathyteuthis abyssicola","Filippovia knipovitchi"
"Bathyteuthis abyssicola","Galiteuthis glacialis"
"Bathyteuthis abyssicola","Gigantocypris muelleri"
"Bathyteuthis abyssicola","Gonatus antarcticus"
"Bathyteuthis abyssicola","Gymnoscopelus bolini"
"Bathyteuthis abyssicola","Gymnoscopelus hintonoides"
"Bathyteuthis abyssicola","Histioteuthis eltaninae"
"Bathyteuthis abyssicola","Kondakovia longimana"
"Bathyteuthis abyssicola","Martialia hyadesi"
"Bathyteuthis abyssicola","Mastigoteuthis"
"Bathyteuthis abyssicola","Megalocranchia"
"Bathyteuthis abyssicola","Mesonychoteuthis hamiltoni"
"Bathyteuthis abyssicola","Onykia ingens"
"Bathyteuthis abyssicola","Psychroteuthis glacialis"
"Bathyteuthis abyssicola","Slosarczykovia circumantarctica"
"Batoteuthis skolops","Alluroteuthis antarcticus"
"Batoteuthis skolops","Bathyteuthis abyssicola"
"Batoteuthis skolops","Batoteuthis skolops"
"Batoteuthis skolops","Brachioteuthis linkovskyi"
"Batoteuthis skolops","Brachioteuthis picta"
"Batoteuthis skolops","Chiroteuthis veranyi"
"Batoteuthis skolops","Dissostichus eleginoides"
"Batoteuthis skolops","Electrona carlsbergi"
"Batoteuthis skolops","Filippovia knipovitchi"
"Batoteuthis skolops","Galiteuthis glacialis"
"Batoteuthis skolops","Gigantocypris muelleri"
"Batoteuthis skolops","Gonatus antarcticus"
"Batoteuthis skolops","Gymnoscopelus bolini"
"Batoteuthis skolops","Gymnoscopelus hintonoides"
"Batoteuthis skolops","Histioteuthis eltaninae"
"Batoteuthis skolops","Kondakovia longimana"
"Batoteuthis skolops","Martialia hyadesi"
"Batoteuthis skolops","Mastigoteuthis"
"Batoteuthis skolops","Megalocranchia"
"Batoteuthis skolops","Onykia ingens"
"Batoteuthis skolops","Psychroteuthis glacialis"
"Batoteuthis skolops","Slosarczykovia circumantarctica"
"Benthalbella elongata","Alluroteuthis antarcticus"
"Benthalbella elongata","Arctozenus risso"
"Benthalbella elongata","Bathyteuthis abyssicola"
"Benthalbella elongata","Batoteuthis skolops"
"Benthalbella elongata","Benthalbella elongata"
"Benthalbella elongata","Benthalbella macropinna"
"Benthalbella elongata","Borostomias antarcticus"
"Benthalbella elongata","Calycopsis borchgrevinki"
"Benthalbella elongata","Chiroteuthis veranyi"
"Benthalbella elongata","Cyclothone"
"Benthalbella elongata","Desmonema glaciale"
"Benthalbella elongata","Dimophyes arctica"
"Benthalbella elongata","Diphyes antarctica"
"Benthalbella elongata","Electrona antarctica"
"Benthalbella elongata","Electrona carlsbergi"
"Benthalbella elongata","Electrona subaspera"
"Benthalbella elongata","Filippovia knipovitchi"
"Benthalbella elongata","Galiteuthis glacialis"
"Benthalbella elongata","Gigantocypris muelleri"
"Benthalbella elongata","Gonatus antarcticus"
"Benthalbella elongata","Gymnoscopelus bolini"
"Benthalbella elongata","Gymnoscopelus braueri"
"Benthalbella elongata","Gymnoscopelus fraseri"
"Benthalbella elongata","Gymnoscopelus hintonoides"
"Benthalbella elongata","Kondakovia longimana"
"Benthalbella elongata","Krefftichthys anderssoni"
"Benthalbella elongata","Martialia hyadesi"
"Benthalbella elongata","Mastigoteuthis"
"Benthalbella elongata","Megalocranchia"
"Benthalbella elongata","Muggiaea bargmannae"
"Benthalbella elongata","Onykia ingens"
"Benthalbella elongata","Pandea rubra"
"Benthalbella elongata","Parandania boecki"
"Benthalbella elongata","Pleuragramma antarcticum"
"Benthalbella elongata","Pleurobrachia"
"Benthalbella elongata","Protomyctophum tenisoni"
"Benthalbella elongata","Psychroteuthis glacialis"
"Benthalbella elongata","Slosarczykovia circumantarctica"
"Benthalbella elongata","Stomias gracilis"
"Benthalbella macropinna","Alluroteuthis antarcticus"
"Benthalbella macropinna","Arctozenus risso"
"Benthalbella macropinna","Bathyteuthis abyssicola"
"Benthalbella macropinna","Batoteuthis skolops"
"Benthalbella macropinna","Benthalbella elongata"
"Benthalbella macropinna","Benthalbella macropinna"
"Benthalbella macropinna","Borostomias antarcticus"
"Benthalbella macropinna","Calycopsis borchgrevinki"
"Benthalbella macropinna","Chiroteuthis veranyi"
"Benthalbella macropinna","Cyclothone"
"Benthalbella macropinna","Desmonema glaciale"
"Benthalbella macropinna","Dimophyes arctica"
"Benthalbella macropinna","Diphyes antarctica"
"Benthalbella macropinna","Electrona antarctica"
"Benthalbella macropinna","Electrona carlsbergi"
"Benthalbella macropinna","Electrona subaspera"
"Benthalbella macropinna","Filippovia knipovitchi"
"Benthalbella macropinna","Galiteuthis glacialis"
"Benthalbella macropinna","Gigantocypris muelleri"
"Benthalbella macropinna","Gonatus antarcticus"
"Benthalbella macropinna","Gymnoscopelus bolini"
"Benthalbella macropinna","Gymnoscopelus braueri"
"Benthalbella macropinna","Gymnoscopelus fraseri"
"Benthalbella macropinna","Gymnoscopelus hintonoides"
