ID,Filum,Clase,Orden,Familia,Género,Especie trófica,Nombre común,Hábitat,Dominio,Expertise,Referencia,Enlace
142,Mollusca,Cephalopoda,Oegopsida,Neoteuthidae,Alluroteuthis,Alluroteuthis_antarcticus,,,,Cefalopodos,4,https://doi.org/10.1017/S095410200400207X
143,Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,Martialia,Martialia_hyadesi,,,,Cefalopodos,4,https://doi.org/10.1017/S095410200400207X
144,Mollusca,Cephalopoda,Oegopsida,Mastigoteuthidae,Mastigoteuthis,Mastigoteuthis_psychrophila,,,,Cefalopodos,4,https://doi.org/10.1017/S095410200400207X
145,Mollusca,Cephalopoda,Oegopsida,Cranchiidae,Galiteuthis,Galiteuthis_glacialis,,,,Cefalopodos,4,https://doi.org/10.1017/S095410200400207X
146,Mollusca,Cephalopoda,Oegopsida,Cranchiidae,Taonius,Taonius*,,,,Cefalopodos,4,https://doi.org/10.1017/S095410200400207X
147,Arthropoda,Malacostraca,Gammaridea,NA,NA,Gammaridea*,,,,Crustaceos peracaridos,4,https://doi.org/10.1017/S095410200400207X
148,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,Themisto_gaudicahudii,,,,Crustaceos peracaridos,4,https://doi.org/10.1017/S095410200400207X
149,Arthropoda,Malacostraca,Isopoda,Anuropidae,Anuropus,Anuropus_antarcticus,,,,Crustaceos isopodos,4,https://doi.org/10.1017/S095410200400207X
150,Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra ,Acanthephyra _pelagica,,,,Crustaceos peracaridos,4,https://doi.org/10.1017/S095410200400207X
151,Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra ,Acanthephyra* ,,,,Crustaceos peracaridos,4,https://doi.org/10.1017/S095410200400207X
152,Arthropoda,Malacostraca,Decapoda,Pasiphaeidae,Pasiphaea,Pasiphaea_longispina,,,,Crustaceos peracaridos,4,https://doi.org/10.1017/S095410200400207X
153,Arthropoda,Malacostraca,Euphausiacea,Euphausiacea,Euphausia,Euphausia_superba,Krill,Planctónico,"CCA, CCH",Crustaceos peracaridos,4,https://doi.org/10.1017/S095410200400207X
154,Arthropoda,Malacostraca,Mysidacea,Gnathophausiidae,NA,Gnathophausiidae*,,,,Crustaceos peracaridos,4,https://doi.org/10.1017/S095410200400207X
155,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,Thalassarche_chrysostoma,,,,Aves marinas,4,https://doi.org/10.1017/S095410200400207X
156,Chordata,Actinopterygii,Anguiliformes,Synaphobranchidae,Diastobranchus,Diastobranchus_capensis,,,,Peces,6,http://dx.doi.org/10.4067/S0718-19572009000100006
157,Chordata,Actinopterygii,Gadiformes,Macrouridae,Macrourus,Macrourus_carinatus,,,,Peces,6,http://dx.doi.org/10.4067/S0718-19572009000100006
158,Chordata,Actinopterygii,Gadiformes,Macrouridae,Macrourus,Macrourus_holotrachys,,,,Peces,6,http://dx.doi.org/10.4067/S0718-19572009000100006
159,Chordata,Actinopterygii,Gadiformes,Macrouridae,Caelorinchus,Caelorinchus_fasciatus,,,,Peces,6,http://dx.doi.org/10.4067/S0718-19572009000100006
160,Chordata,Actinopterygii,Gadiformes,Macrouridae,Caelorinchus,Caelorinchus_chilensis,,,,Peces,6,http://dx.doi.org/10.4067/S0718-19572009000100006
161,Chordata,Actinopterygii,Gadiformes,Moridae,Antimora,Antimora_rostrata,,,,Peces,6,http://dx.doi.org/10.4067/S0718-19572009000100006
162,Chordata,Actinopterygii,Gadiformes,Moridae,Lepidion,Lepidion_ensiferus,,,,Peces,6,http://dx.doi.org/10.4067/S0718-19572009000100006
163,Chordata,Actinopterygii,Perciformes,Nototheniidae,Dissostichus,Dissostichus_eleginoides,Merluza negra,Demersal,,Peces demersales,6,http://dx.doi.org/10.4067/S0718-19572009000100006
164,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,NA,Liparidae*,,,,Peces,6,http://dx.doi.org/10.4067/S0718-19572009000100006
165,Chordata,Mammalia,Artiodactyla,Delphinidae,Lagenorhynchus ,Lagenorhynchus_australis,Delfín Austral,,,Mamiferos marinos,7,https://doi.org/10.1016/B978-0-12-373553-9.00196-6
166,Chordata,Mammalia,Cetartiodactyla ,Delphinidae,Grampus,Grampus_griseus,,,CB,Mamiferos marinos,8,https://doi.org/10.3354/meps08826
167,Chordata,Mammalia,Artiodactyla,Delphinidae,Lagenorhynchus ,Lagenorhynchus_cruciger,Delfín cruzado,,CB,Mamiferos marinos,8,https://doi.org/10.3354/meps08826
168,Chordata,Mammalia,Artiodactyla,Delphinidae,Lagenorhynchus ,Lagenorhynchus_australis,Delfín Austral,,CB,Mamiferos marinos,8,https://doi.org/10.3354/meps08826
169,Chordata,Mammalia,Cetartiodactyla ,Delphinidae,Lissodelphis,Lissodelphis_peronii,,,CB,Mamiferos marinos,8,https://doi.org/10.3354/meps08826
170,Chordata,Mammalia,Cetartiodactyla ,Delphinidae,Pseudorca,Pseudorca_crassidens,,,CB,Mamiferos marinos,8,https://doi.org/10.3354/meps08826
171,Chordata,Mammalia,Cetartiodactyla ,Delphinidae,Cephalorhynchus,Cephalorhynchus_commersonii,Tonina overa,,CB,Mamiferos marinos,8,https://doi.org/10.3354/meps08826
172,Chordata,Mammalia,Artiodactyla,Phocoenidae,Phocoena,Phocoena_dioptrica,Marsopa de anteojos,,CB,Mamiferos marinos,8,https://doi.org/10.3354/meps08826
173,Chordata,Mammalia,Artiodactyla,Phocoenidae,Phocoena,Phocoena_spinipinnis,Marsopa espinosa,Pelágico,CB,Mamiferos marinos,8,https://doi.org/10.3354/meps08826
174,Chordata,Actinopteri ,Gadiformes ,Merlucciidae ,Merluccius,Merluccius_hubbsi,Merluza Argentina,Demersal,,Peces demersales,8,https://doi.org/10.3354/meps08826
175,Chordata,Actinopteri ,Gadiformes ,Merlucciidae ,Merluccius,Merluccius_australis,Merluza austral,Demersal,,Peces demersales,8,https://doi.org/10.3354/meps08826
176,Chordata,Actinopteri ,Gadiformes ,Moridae ,Salilota,Salilota_australis,Bacalao criollo,Pelágico,,Peces,8,https://doi.org/10.3354/meps08826
177,Chordata,Actinopteri ,Gadiformes ,Merlucciidae ,Macruronus,Macruronus_magellanicus,Merluza de cola,Demersal,,Peces demersales,8,https://doi.org/10.3354/meps08826
178,Chordata,Actinopteri ,Perciformes,Bovichtidae,Cottoperca,Cottoperca_gobio,,,,Peces,8,https://doi.org/10.3354/meps08826
179,Chordata,Actinopteri ,Gadiformes ,Macrouridae,Coelorinchus,Coelorinchus_fasciatus,Granadero chico,Pelágico,,Peces,8,https://doi.org/10.3354/meps08826
180,Chordata,Actinopteri ,Perciformes,Zoarcidae,Iluocoetes,Iluocoetes_fimbriatus,,Demersal,"CB, CCH",Peces demersales,8,https://doi.org/10.3354/meps08826
181,Chordata,Actinopteri ,Perciformes,Psychrolutidae ,Cottunculus,Cottunculus_granulosus,,,,Peces,8,https://doi.org/10.3354/meps08826
182,Chordata,Actinopteri ,Perciformes,Nototheniidae,Dissostichus,Dissostichus_eleginoides,Merluza negra,Demersal,,Peces demersales,8,https://doi.org/10.3354/meps08826
183,Chordata,Actinopteri ,Ophidiiformes,Ophidiidae ,Genypterus,Genypterus_blacodes,Congrio dorado,,,Peces,8,https://doi.org/10.3354/meps08826
184,Chordata,Actinopteri ,Perciformes,Nototheniidae,NA,Nototheniidae*,,,,Peces,8,https://doi.org/10.3354/meps08826
185,Chordata,Actinopteri ,Gadiformes ,Gadidae,Micromesistius,Micromesistius_australis,Bacaladilla,Pelágico,,Peces,8,https://doi.org/10.3354/meps08826
186,Chordata,Actinopteri ,Perciformes,Nototheniidae,Patagonotothen,Patagonotothen_ramsayi,,,,Peces,8,https://doi.org/10.3354/meps08826
187,Chordata,Actinopteri ,Zeiformes ,Oreosomatidae ,Pseudocyttus,Pseudocythus_maculatus,,,,Peces,8,https://doi.org/10.3354/meps08826
188,Chordata,Actinopteri ,Myctophiformes ,Myctophidae ,NA,Myctophidae* ,,,,Peces,8,https://doi.org/10.3354/meps08826
189,Chordata,Elasmobranchii,Rajiformes,Arhynchobatidae ,Bathyraja,Bathyraja_macloviana,,,,Condrictios,8,https://doi.org/10.3354/meps08826
190,Chordata,Actinopteri ,Perciformes,Nototheniidae,Eleginops,Eleginops_maclovinus,,,,Peces,8,https://doi.org/10.3354/meps08826
191,Chordata,Actinopteri ,Perciformes,Zoarcidae,NA,Zoarcidae*,,,,Peces,8,https://doi.org/10.3354/meps08826
192,Chordata,Actinopteri ,Perciformes,Nototheniidae,Patagonotothen ,Patagonotothen* ,,,,Peces,8,https://doi.org/10.3354/meps08826
193,Chordata,Actinopteri ,Perciformes,Nototheniidae,Patagonotothen ,Patagonotothen_sima,,,,Peces,8,https://doi.org/10.3354/meps08826
194,Chordata,Actinopteri ,Perciformes,Nototheniidae,Patagonotothen ,Patagonotothen_tessellata,,,,Peces,8,https://doi.org/10.3354/meps08826
195,Chordata,Actinopteri ,Atheriniformes,Atherinidae,Odonthestes,Odonthestes*,,,,Peces,8,https://doi.org/10.3354/meps08826
196,Chordata,Actinopteri ,Clupeiformes ,Clupeidae,Sprattus,Sprattus_fuegensis,Sardina fueguina,Pelágico,"CCH, CB",Sardinas,8,https://doi.org/10.3354/meps08826
197,Mollusca,Cephalopoda ,Myopsida,Loliginidae ,Loligo,Loligo_gahi,,,,Cefalopodos,8,https://doi.org/10.3354/meps08826
198,Mollusca,Cephalopoda ,Oegopsida ,Ommastrephidae ,llex,llex*,,,,Cefalopodos,8,https://doi.org/10.3354/meps08826
199,Mollusca,Cephalopoda ,Oegopsida ,Ommastrephidae ,llex,Ilex_argentinus,Calamar argentino,,,Cefalopodos,8,https://doi.org/10.3354/meps08826
200,Mollusca,Cephalopoda ,Oegopsida ,Onychoteuthidae ,Moroteuthis,Moroteuthis_ingens,,,,Cefalopodos,8,https://doi.org/10.3354/meps08826
201,Mollusca,Cephalopoda ,Sepioidea,Sepiolidae,Semirrosia,Semirrosia_tenera,,,,Cefalopodos,8,https://doi.org/10.3354/meps08826
202,Mollusca,Cephalopoda ,Octopoda,Enteroctopodidae,Enteroctopus,Enteroctopus_megalocyathus,Pulpo rojo patagónico,,,Cefalopodos,8,https://doi.org/10.3354/meps08826
203,Arthropoda,Malacostraca,Decapoda,Campylonotidae ,Campylognathus,Campylognathus_vagans,,,,Crustaceos peracaridos,8,https://doi.org/10.3354/meps08826
204,Arthropoda,Malacostraca,Decapoda,Munididae,Munida,Munida_gregaria,Langosta gregaria,Bentopelágico,,Crustaceos peracaridos,8,https://doi.org/10.3354/meps08826
205,Arthropoda,Malacostraca,Euphausiacea ,Euphausiidae ,Euphausia,Euphausia_lucens,,,,Crustaceos peracaridos,8,https://doi.org/10.3354/meps08826
206,Arthropoda,Copepoda ,Calanoida,Calanidae,Calanus,Calanus_australis,,,,Crustáceos,8,https://doi.org/10.3354/meps08826
207,Arthropoda,Malacostraca,Amphipoda,Hyperiidae ,Themisto,Themisto_gaudichaudii,,,,Crustaceos peracaridos,8,https://doi.org/10.3354/meps08826
208,Chordata,Mammalia,Cetartiodactyla,Physeteridae ,Physeter,Physeter_macrocephalus,Cachalote,Pelágico,,Mamiferos marinos,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
209,Chordata,Mammalia,Cetartiodactyla,Kogiidae,Kogia,Kogia_breviceps,,,,Mamiferos marinos,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
210,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Orcinus,Orcinus_orca,,,,Mamiferos marinos,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
211,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Globicephala,Globicephala_melas,,,CAA,Mamiferos marinos,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
212,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Pseudorca,Pseudorca_crassidens,,,,Mamiferos marinos,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
213,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Lagenorhynchus,Lagenorhynchus_obscurus,,,,Mamiferos marinos,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
214,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Lagenorhynchus,Lagenorhynchus_cruciger,Delfín cruzado,,,Mamiferos marinos,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
215,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Lissodelphis,Lissodelphis_peronii,,,,Mamiferos marinos,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
216,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Cephalorhynchus,Cephalorhynchus_commersonii,Tonina overa,,,Mamiferos marinos,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
217,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Cephalorhynchus,Cephalorhynchus_hectori,,,,Mamiferos marinos,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
218,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Tursiops,Tursiops_truncatus,,,,Mamiferos marinos,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
219,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Delphinus,Delphinus_delphis,,,,Mamiferos marinos,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
220,Chordata,Mammalia,Cetartiodactyla,Phocoenidae,Phocoena,Phocoena_dioptrica,Marsopa de anteojos,,,Mamiferos marinos,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
221,Chordata,Mammalia,Cetartiodactyla,Ziphiidae ,Hyperoodon,Hyperoodon_planifrons,,,,Mamiferos marinos,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
222,Chordata,Mammalia,Cetartiodactyla,Ziphiidae ,Berardius,Berardius_arnuxii,Delfín picudo de Arnoux,,,Mamiferos marinos,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
223,Chordata,Mammalia,Cetartiodactyla,Ziphiidae ,Ziphius,Ziphius_cavirostris,Ballena de Cuvier,,,Mamiferos marinos,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
224,Chordata,Mammalia,Cetartiodactyla,Ziphiidae ,Tasmacetus,Tasmacetus_shepherdi,Zifio de Shepherd,,,Mamiferos marinos,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
225,Chordata,Mammalia,Cetartiodactyla,Ziphiidae,Mesoplodon,Mesoplodon_layardii,,,,Mamiferos marinos,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
226,Chordata,Mammalia,Cetartiodactyla,Ziphiidae,Mesoplodon,Mesoplodon_traversii,,,,Mamiferos marinos,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
227,Chordata,Mammalia,Cetartiodactyla,Ziphiidae,Mesoplodon,Mesoplodon_grayi,Delfín picudo de Gray,,CAA,Mamiferos marinos,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
228,Chordata,Mammalia,Cetartiodactyla,Ziphiidae,Mesoplodon,Mesoplodon_bowdoini,Zifio de Andrew,,,Mamiferos marinos,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
229,Chordata,Mammalia,Cetartiodactyla,Ziphiidae,Mesoplodon,Mesoplodon_hectori,Zifio de Hector,,,Mamiferos marinos,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
230,Chordata,Mammalia,Cetartiodactyla,Kogiidae,Kogia,Kogia_sima,,,,Mamiferos marinos,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
231,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Grampus,Grampus_griseus,,,,Mamiferos marinos,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
232,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Steno,Steno_bredanensis,,,,Mamiferos marinos,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
233,Chordata,Mammalia,Cetartiodactyla,Ziphiidae,Mesoplodon,Mesoplodon_peruvianus,,,,Mamiferos marinos,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
234,Chordata,Mammalia,Cetartiodactyla,Ziphiidae,Mesoplodon,Mesoplodon_densirostris,,,,Mamiferos marinos,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
235,Chordata,Mammalia,Cetartiodactyla,Ziphiidae,Mesoplodon,Mesoplodon_mirus,,,,Mamiferos marinos,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
236,Chordata,Mammalia,Cetartiodactyla,Ziphiidae,Mesoplodon,Mesoplodon_ginkgodens,,,,Mamiferos marinos,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
237,Chordata,Mammalia,Cetartiodactyla,Ziphiidae,Mesoplodon,Mesoplodon_mirus,,,,Mamiferos marinos,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
238,Mollusca,Cephalopoda ,Oegopsida,Ancistrocheiridae ,Ancistrocheirus,Ancistrocheirus*,,,,Cefalopodos,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
239,Chordata,Aves,Procellariiformes ,Diomedeidae ,Thalassarche,Thalassarche_melanophris,,,,Aves marinas,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
240,Chordata,Actinopteri,Perciformes,Nototheniidae ,Notothenia,Notothenia_rossii,,,,Peces,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
241,Chordata,Actinopterygii,Perciformes,Nototheniidae,Dissostichus,Dissostichus_eleginoides,Merluza negra,Demersal,,Peces demersales,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary
242,Chordata,Aves,Sphenisciformes,Spheniscidae ,Eudyptes ,Eudyptes_chrysocome_chrysocome,,,CCH,Aves marinas,11,https://doi.org/10.3354/meps11689
243,Chordata,Aves,Sphenisciformes,Spheniscidae ,Spheniscus,Spheniscus_magellanicus_female,Pinguino Magallánico,Pelágico,"CCH, CB",Aves marinas,11,https://doi.org/10.3354/meps11689
244,Chordata,Aves,Sphenisciformes,Spheniscidae ,Spheniscus,Spheniscus_magellanicus_male,Pinguino Magallánico,Pelágico,"CCH, CB",Aves marinas,11,https://doi.org/10.3354/meps11689
245,Chordata,Actinopteri ,Gadiformes,Macrouridae,Macrurus,Macrurus*,,,,Peces,11,https://doi.org/10.3354/meps11689
246,Chordata,Aves,Pelecaniformes,Phalacrocoracidae ,Phalacrocorax ,Phalacrocorax* ,,,,Aves marinas,11,https://doi.org/10.3354/meps11689
247,Chordata,Aves,Procellariiformes,NA,NA,Procellariiformes*,,,,Aves marinas,11,https://doi.org/10.3354/meps11689
248,Chordata,Aves,Procellariiformes,Procellariidae,NA,Procellariidae*,,,,Aves marinas,11,https://doi.org/10.3354/meps11689
249,Chordata,Mammalia,Cetartiodactyla,Delphinidae ,Delphinus,Delphinus*,,,,Mamiferos marinos,11,https://doi.org/10.3354/meps11689
250,Chordata,Mammalia,Carnivora,Otariidae ,Otaria,Otaria*,,,,Mamiferos marinos,11,https://doi.org/10.3354/meps11689
251,Mollusca,Cephalopoda,NA,NA,NA,Cephalopoda*,,,,Cefalopodos,11,https://doi.org/10.3354/meps11689
252,Arthropoda,Malacostraca,Amphipoda,Hyperiidae ,Themisto,Themisto_gaudichaudii,,,,Crustaceos peracaridos,11,https://doi.org/10.3354/meps11689
253,Arthropoda,Malacostraca,Euphausiacea,NA,NA,Euphausiacea*,,,,Crustaceos peracaridos,11,https://doi.org/10.3354/meps11689
254,Arthropoda,Malacostraca,Amphipoda ,NA,NA,Amphipoda* ,,,,Crustaceos peracaridos,11,https://doi.org/10.3354/meps11689
255,Mollusca,Cephalopoda,NA,NA,NA,Cephalopoda_juvenil,,,,Cefalopodos,11,https://doi.org/10.3354/meps11689
256,Chordata,Vertebrata,NA,NA,NA,Larva_peces,,,,Ictioplancton,11,https://doi.org/10.3354/meps11689
257,Chordata,Actinopteri ,Clupeiformes ,Clupeidae,Sprattus,Sprattus_fuegensis,Sardina fueguina,Pelágico,"CCH, CB",Sardinas,11,https://doi.org/10.3354/meps11689
258,Mollusca,Cephalopoda ,Myopsida,Loliginidae ,Loligo,Loligo_gahi,,,,Cefalopodos,11,https://doi.org/10.3354/meps11689
259,Arthropoda,Malacostraca,Decapoda,Munididae,Munida,Munida_gregaria,Langosta gregaria,Bentopelágico,,Crustaceos peracaridos,11,https://doi.org/10.3354/meps11689
260,Chordata,Mammalia,Cetartiodactyla,Delphinidae ,Lagenorhynchus,Lagenorhynchus_australis,Delfín Austral,Pelágico,,Mamiferos marinos,11,https://doi.org/10.3354/meps11689
261,Chordata,Actinopteri ,Clupeiformes ,Engraulidae,NA,Engraulidae*,,,,Peces,11,https://doi.org/10.3354/meps11689
262,Chordata,Mammalia,Carnivora ,Phocidae ,Mirounga,Mirounga_leonina,,,CAA,Mamiferos marinos,10,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.974.9404&rep=rep1&type=pdf
263,Chordata,Mammalia,Cetartiodactyla,Ziphiidae ,Berardius,Berardius_arnuxii,Delfín picudo de Arnoux,,,Mamiferos marinos,13,https://doi.org/10.3354/meps12296
264,Chordata,Mammalia,Cetartiodactyla,Ziphiidae ,Hyperoodon,Hyperoodon_planifrons,,,,Mamiferos marinos,13,https://doi.org/10.3354/meps12296
265,Chordata,Mammalia,Cetartiodactyla,Ziphiidae,Mesoplodon,Mesoplodon_bowdoini,Zifio de Andrew,,,Mamiferos marinos,13,https://doi.org/10.3354/meps12296
266,Chordata,Mammalia,Cetartiodactyla,Ziphiidae,Mesoplodon,Mesoplodon_grayi,Delfín picudo de Gray,,,Mamiferos marinos,13,https://doi.org/10.3354/meps12296
267,Chordata,Mammalia,Cetartiodactyla,Ziphiidae,Mesoplodon,Mesoplodon_hectori,Zifio de Hector,,,Mamiferos marinos,13,https://doi.org/10.3354/meps12296
268,Chordata,Mammalia,Cetartiodactyla,Ziphiidae,Mesoplodon,Mesoplodon_layardii,,,CAA,Mamiferos marinos,13,https://doi.org/10.3354/meps12296
269,Chordata,Mammalia,Cetartiodactyla,Ziphiidae ,Tasmacetus,Tasmacetus_shepherdi,Zifio de Shepherd,,,Mamiferos marinos,13,https://doi.org/10.3354/meps12296
270,Chordata,Mammalia,Cetartiodactyla,Ziphiidae ,Ziphius,Ziphius_cavirostris,Ballena de Cuvier,,CAA,Mamiferos marinos,13,https://doi.org/10.3354/meps12296
271,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Cephalorhynchus,Cephalorhynchus_commersonii,Tonina overa,,,Mamiferos marinos,13,https://doi.org/10.3354/meps12296
272,Chordata,Mammalia,Cetartiodactyla ,Balaenidae,Eubalaena,Eubalaena_australis,Ballena franca asutral,,,Mamiferos marinos,13,https://doi.org/10.3354/meps12296
273,Mollusca,Cephalopoda ,Myopsida,Loliginidae ,Loligo,Loligo_gahi,,,,Cefalopodos,13,https://doi.org/10.3354/meps12296
274,Mollusca,Cephalopoda ,Oegopsida ,Ommastrephidae ,llex,Ilex_argentinus,Calamar argentino,,,Cefalopodos,13,https://doi.org/10.3354/meps12296
275,Chordata,Actinopteri ,Gadiformes ,Merlucciidae ,Macruronus,Macruronus_magellanicus,Merluza de cola,Demersal,,Peces demersales,13,https://doi.org/10.3354/meps12296
276,Chordata,Actinopteri ,Gadiformes ,Merlucciidae ,Merluccius,Merluccius_australis,Merluza austral,Demersal,,Peces demersales,13,https://doi.org/10.3354/meps12296
277,Chordata,Actinopteri ,Perciformes,Channichthyidae ,Champsocephalus,Champsocephalus_aceratus,,,,Peces,13,https://doi.org/10.3354/meps12296
278,Mollusca,Cephalopoda ,Oegopsida,Cranchiidae ,Galiteuthis,Galiteuthis_glacialis,,,,Cefalopodos,13,https://doi.org/10.3354/meps12296
279,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae ,Euphausia,Euphausia_lucens,,,,Crustaceos peracaridos,13,https://doi.org/10.3354/meps12296
280,Arthropoda,Malacostraca,Euphausiacea ,Euphausiidae ,Euphausia,Euphausia_superba,Krill,Planctónico,"CCA, CCH",Crustaceos peracaridos,13,https://doi.org/10.3354/meps12296
281,Mollusca,Cephalopoda ,Oegopsida,Cranchiidae ,Taonius,Taonius*,,,,Cefalopodos,13,https://doi.org/10.3354/meps12296
282,Mollusca,Cephalopoda ,Oegopsida,Histioteuthidae ,Histioteuthis,Histioteuthis_atlantica,,,,Cefalopodos,13,https://doi.org/10.3354/meps12296
283,Mollusca,Cephalopoda ,Oegopsida,Histioteuthidae ,Histioteuthis,Histioteuthis_macrohista,,,,Cefalopodos,13,https://doi.org/10.3354/meps12296
284,Mollusca,Cephalopoda ,Oegopsida,Gonatidae ,Gonatus,Gonatus_antarcticus,,,,Cefalopodos,13,https://doi.org/10.3354/meps12296
285,Mollusca,Cephalopoda ,Oegopsida,Onychoteuthidae,Kondakovia,Kondakovia_longimana,,,,Cefalopodos,13,https://doi.org/10.3354/meps12296
286,Mollusca,Cephalopoda ,Oegopsida,Batoteuthidae,Batoteuthis,Batoteuthis_skolops,,,,Cefalopodos,13,https://doi.org/10.3354/meps12296
287,Mollusca,Cephalopoda ,Oegopsida,Cranchiidae ,Galiteuthis,Galiteuthis_glacialis,,,,Cefalopodos,13,https://doi.org/10.3354/meps12296
288,Chordata,Actinopteri ,Perciformes ,Nototheniidae,Dissostichus,Dissostichus_eleginoides,Merluza negra,Demersal,,Peces demersales,13,https://doi.org/10.3354/meps12296
289,Chordata,Actinopteri ,Gadiformes ,Gadidae,Micromesistius,Micromesistius_australis,Bacaladilla,Pelágico,,Peces,13,https://doi.org/10.3354/meps12296
290,Chordata,Actinopteri ,Gadiformes ,Merlucciidae ,Macruronus,Macruronus_magellanicus,Merluza de cola,Demersal,,Peces demersales,13,https://doi.org/10.3354/meps12296
291,Chordata,Actinopteri ,Gadiformes ,Merlucciidae ,Merluccius,Merluccius_australis,Merluza austral,Demersal,,Peces demersales,13,https://doi.org/10.3354/meps12296
292,Chordata,Actinopteri ,Perciformes ,Nototheniidae,Gobionotothen,Gobionotothen_gibberifrons,,,,Peces,13,https://doi.org/10.3354/meps12296
293,Chordata,Actinopteri ,Perciformes ,Channichthyidae,Chaenocephalus,Chaenocephalus_aceratus,,,,Peces,13,https://doi.org/10.3354/meps12296
294,Chordata,Actinopteri ,Perciformes ,Channichthyidae,Champsocephalus,Champsocephalus_gunnari,,,,Peces,13,https://doi.org/10.3354/meps12296
295,Chordata,Actinopteri ,Perciformes ,Channichthyidae,Chionodraco,Chionodraco_rastrospinosus,,,,Peces,13,https://doi.org/10.3354/meps12296
296,Chordata,Actinopteri ,Perciformes ,Nototheniidae,Lepidonotothen,Lepidonotothen_kempi,,,,Peces,13,https://doi.org/10.3354/meps12296
