"","ID","Filum","Clase","Orden","Familia","Género","Especie.trófica","Nombre.común","Hábitat","Dominio","Expertise","Referencia","Enlace","X","X.1"
"1",12,"Cnidaria","Anthozoa","Alcyonacea","Gorgoniidae","Gorgonaria","Gorgonaria*","Gorgonia","Bentónico","CB","Cnidarios",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"2",13,"Cnidaria","Anthozoa","Alcyonacea","Alcyoniidae",NA,"Alcyoniidae*","Alciónidos","Bentónico","CB","Cnidarios",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"3",35,"Cnidaria","Anthozoa",NA,NA,NA,"Anthozoa*",NA,"Bentónico","","Cnidarios",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"4",59,"Cnidaria","Hydrozoa",NA,NA,NA,"Hydrozoa*",NA,NA,"","Cnidarios",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"5",78,"Cnidaria","Anthozoa","Malacalcyonacea ","Alcyoniidae","Alcyonidium","Alcyonidium_australe",NA,"Bentónico","","Cnidarios",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"6",86,"Cnidaria","Hydrozoa","Anthoathecata","Stylasteridae ","Errinopora","Errinopora*",NA,NA,"","Cnidarios",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"7",94,"Cnidaria","Hydrozoa","Anthoathecata ","Stylasteridae",NA,"Stylasteridae*",NA,NA,"","Cnidarios",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"8",95,"Cnidaria","Anthozoa","Scleractinaria",NA,NA,"Scleractinaria*",NA,NA,"","Cnidarios",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"9",96,"Cnidaria","Anthozoa","Pennatularia",NA,NA,"Pennatularia*",NA,NA,"","Cnidarios",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
