"","ID","Filum","Clase","Orden","Familia","Género","Especie.trófica","Nombre.común","Hábitat","Dominio","Expertise","Referencia","Enlace","X","X.1"
"1",6,"Mollusca","Gastropoda",NA,NA,NA,"Gastropoda*",NA,"Bentónico","CB","Gasteropodos",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"2",36,"Mollusca","Gastropoda","Neogastropoda","Muricidae","Trophon","Trophon*",NA,"Bentónico","","Gasteropodos",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"3",39,"Mollusca","Gastropoda","Trochida","Calliostomatidae","Photinula","Photinula_caerulescens",NA,"","","Gasteropodos",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"4",45,"Mollusca","Gastropoda","Littorinimorpha","Calyptraeidae","Caliptraea","Caliptraea_pileolus","Sombreritos chinos","Bentónico","","Gasteropodos",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"5",54,"Mollusca","Gastropoda ","Neogastropoda","Cominellidae ","Pareuthria","Pareuthria_plumbea",NA,"Bentónico","","Gasteropodos",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"6",72,"Mollusca","Gastropoda","Neogastropoda","Volutidae","Odontocymbiola","Odontocymbiola*",NA,NA,"","Gasteropodos",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"7",83,"Mollusca","Gastropoda","Neogastropoda ","Fasciolariidae","Trophon","Trophon_geversianus",NA,"Bentónico","","Gasteropodos",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"8",84,"Mollusca","Gastropoda","Neogastropoda ","Conidae","Ximeniconus","Ximeniconus_muriciformis",NA,"Bentónico","","Gasteropodos",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"9",320,"Mollusca","Gastropoda","Trochida ","Calliostomatidae","Margarella","Margarella_violacea ","","Bentónico","CB","Gasteropodos",17,"https://doi.org/10.1371/journal.pone.0229259",NA,""
